omitted_model,support_stratum,remaining_council_size,overlap_N_with_H12,pearson_r,delta_r_vs_full,spearman_rho,MAE,delta_mae_vs_full,mean_signed_diff,directional_concordance_nz_pct,frozen_lomo_displacement,frozen_lomo_delta_displacement
NONE (Full 8-Model Council),COMMON_SUPPORT,8,168,0.1876,0.0,0.2609,0.3006,0.0,-0.1815,96.91,-0.0972,0.0
NONE (Full 8-Model Council),AVAILABLE_SUPPORT,8,175,0.1616,-0.026,0.2408,0.3006,-0.0,-0.1634,97.02,-0.0972,0.0
deepseek-r1-distill-llama-70b,COMMON_SUPPORT,7,168,0.348,0.1605,0.357,0.2299,-0.0707,-0.1165,95.21,-0.0932,0.0039
deepseek-r1-distill-llama-70b,AVAILABLE_SUPPORT,7,291,0.3135,0.126,0.3344,0.263,-0.0376,-0.0991,91.32,-0.0932,0.0039
gemma-3-27b,COMMON_SUPPORT,7,168,0.3552,0.1676,0.3788,0.1967,-0.1039,-0.0525,95.24,-0.1046,-0.0074
gemma-3-27b,AVAILABLE_SUPPORT,7,289,0.3012,0.1137,0.3165,0.2349,-0.0657,-0.0363,91.67,-0.1046,-0.0074
gpt-oss-claude-4.5-sonnet,COMMON_SUPPORT,7,168,0.3723,0.1847,0.3671,0.2064,-0.0942,-0.0827,95.24,-0.0963,0.0009
gpt-oss-claude-4.5-sonnet,AVAILABLE_SUPPORT,7,295,0.3179,0.1304,0.3006,0.243,-0.0576,-0.063,91.81,-0.0963,0.0009
mistral-nemo-12b-thinking,COMMON_SUPPORT,7,168,0.3768,0.1892,0.3751,0.2061,-0.0945,-0.0833,95.24,-0.0929,0.0043
mistral-nemo-12b-thinking,AVAILABLE_SUPPORT,7,296,0.3107,0.1231,0.3161,0.2448,-0.0558,-0.0708,91.5,-0.0929,0.0043
olmo-3-32b-think,COMMON_SUPPORT,7,168,0.3236,0.1361,0.3439,0.2122,-0.0884,-0.0911,95.24,-0.1016,-0.0044
olmo-3-32b-think,AVAILABLE_SUPPORT,7,294,0.2713,0.0837,0.2778,0.253,-0.0476,-0.0812,91.1,-0.1016,-0.0044
phi-4-reasoning-plus,COMMON_SUPPORT,7,168,0.3525,0.165,0.3594,0.2148,-0.0858,-0.0885,95.24,-0.0928,0.0043
phi-4-reasoning-plus,AVAILABLE_SUPPORT,7,294,0.2771,0.0895,0.2692,0.2556,-0.0449,-0.076,91.44,-0.0928,0.0043
qwen3-14b-gemini-3-pro,COMMON_SUPPORT,7,168,0.4019,0.2143,0.3931,0.1952,-0.1054,-0.0735,95.81,-0.1013,-0.0041
qwen3-14b-gemini-3-pro,AVAILABLE_SUPPORT,7,296,0.3171,0.1295,0.3201,0.2367,-0.0639,-0.0625,91.81,-0.1013,-0.0041
qwen3.5-40b-claude-4.5-opus,COMMON_SUPPORT,7,168,0.3347,0.1472,0.2879,0.2144,-0.0862,-0.0833,95.24,-0.0951,0.0021
qwen3.5-40b-claude-4.5-opus,AVAILABLE_SUPPORT,7,295,0.2819,0.0944,0.2519,0.254,-0.0466,-0.0703,91.41,-0.0951,0.0021
