,hexp01,hexp02,gemini3_1_pro,gpt_oss_120b_repa,gpt_oss_120b_repb,gpt_oss_120b_indep,council_consensus,gemma_3_27b,deepseek_r1_70b,phi_4_reasoning,gemma4_31b_it_mean,hexp0z_control
hexp01,1.0,0.39,0.49,0.44,0.45,0.35,0.26,0.17,0.16,0.17,0.5,-0.06
hexp02,0.39,1.0,0.91,0.89,0.91,0.89,0.5,0.49,0.42,0.66,0.69,0.01
gemini3_1_pro,0.49,0.91,1.0,0.98,0.98,0.87,0.48,0.46,0.48,0.67,0.67,0.08
gpt_oss_120b_repa,0.44,0.89,0.98,1.0,0.96,0.95,0.45,0.41,0.41,0.61,0.64,0.06
gpt_oss_120b_repb,0.45,0.91,0.98,0.96,1.0,0.86,0.43,0.43,0.45,0.63,0.65,0.09
gpt_oss_120b_indep,0.35,0.89,0.87,0.95,0.86,1.0,0.39,0.35,0.32,0.57,0.62,0.0
council_consensus,0.26,0.5,0.48,0.45,0.43,0.39,1.0,0.19,0.21,0.36,0.4,-0.04
gemma_3_27b,0.17,0.49,0.46,0.41,0.43,0.35,0.19,1.0,0.54,0.56,0.42,0.04
deepseek_r1_70b,0.16,0.42,0.48,0.41,0.45,0.32,0.21,0.54,1.0,0.7,0.47,0.04
phi_4_reasoning,0.17,0.66,0.67,0.61,0.63,0.57,0.36,0.56,0.7,1.0,0.62,0.05
gemma4_31b_it_mean,0.5,0.69,0.67,0.64,0.65,0.62,0.4,0.42,0.47,0.62,1.0,0.09
hexp0z_control,-0.06,0.01,0.08,0.06,0.09,0.0,-0.04,0.04,0.04,0.05,0.09,1.0
