call_id,paper_id,condition,repeat,scientific_model,temperature,top_p,min_p,input_markdown_file,input_sha256,status,execution_timestamp
EP-01,Garret2020,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Garret2020__CondA_Full.md,ce4e52ef5ef4f2db4716c2b46866dbe23a46dd117d3c635f8a120b1a01424b1a,PREPARED_UNEXECUTED,
EP-02,Garret2020,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Garret2020__CondA_Full.md,ce4e52ef5ef4f2db4716c2b46866dbe23a46dd117d3c635f8a120b1a01424b1a,PREPARED_UNEXECUTED,
EP-03,Garret2020,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Garret2020__CondA_Full.md,ce4e52ef5ef4f2db4716c2b46866dbe23a46dd117d3c635f8a120b1a01424b1a,PREPARED_UNEXECUTED,
EP-04,Garret2020,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Garret2020__CondB_Abstract.md,2e1bdf3fb38aa8ef4f4587af8fc377a33d90da7d7cf6deb3305b29075c65a82a,PREPARED_UNEXECUTED,
EP-05,Garret2020,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Garret2020__CondB_Abstract.md,2e1bdf3fb38aa8ef4f4587af8fc377a33d90da7d7cf6deb3305b29075c65a82a,PREPARED_UNEXECUTED,
EP-06,Garret2020,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Garret2020__CondB_Abstract.md,2e1bdf3fb38aa8ef4f4587af8fc377a33d90da7d7cf6deb3305b29075c65a82a,PREPARED_UNEXECUTED,
EP-07,Garret2020,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Garret2020__CondC_Masked.md,b9f890345fd0a8ba331460a706086252546aeed6a7de4739854a57a9a3f57ba5,PREPARED_UNEXECUTED,
EP-08,Garret2020,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Garret2020__CondC_Masked.md,b9f890345fd0a8ba331460a706086252546aeed6a7de4739854a57a9a3f57ba5,PREPARED_UNEXECUTED,
EP-09,Garret2020,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Garret2020__CondC_Masked.md,b9f890345fd0a8ba331460a706086252546aeed6a7de4739854a57a9a3f57ba5,PREPARED_UNEXECUTED,
EP-10,Attinger2017,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Attinger2017__CondA_Full.md,882c236a5f5df65b7f6e25b16340d182c1b948ff00cca919c7399fe4105a00ac,PREPARED_UNEXECUTED,
EP-11,Attinger2017,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Attinger2017__CondA_Full.md,882c236a5f5df65b7f6e25b16340d182c1b948ff00cca919c7399fe4105a00ac,PREPARED_UNEXECUTED,
EP-12,Attinger2017,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Attinger2017__CondA_Full.md,882c236a5f5df65b7f6e25b16340d182c1b948ff00cca919c7399fe4105a00ac,PREPARED_UNEXECUTED,
EP-13,Attinger2017,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Attinger2017__CondB_Abstract.md,7b20f3d7db324e4593544598ce4328e8531e5241b713907a05e25d9030ce0279,PREPARED_UNEXECUTED,
EP-14,Attinger2017,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,content/202608_temp/evidence_prior_inputs/Attinger2017__CondB_Abstract.md,7b20f3d7db324e4593544598ce4328e8531e5241b713907a05e25d9030ce0279,PREPARED_UNEXECUTED,
