call_id,paper_id,condition,repeat,model,temperature,top_p,min_p,input_sha256,status,latency_seconds,timestamp,raw_response_path
EP-01,Garret2020,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,ce4e52ef5ef4f2db4716c2b46866dbe23a46dd117d3c635f8a120b1a01424b1a,COMPLETED_CACHED,179.52,2026-08-24T17:10:25.664957+00:00,content/raw_responses/evidence_prior_202608/EP-01.json
EP-02,Garret2020,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,ce4e52ef5ef4f2db4716c2b46866dbe23a46dd117d3c635f8a120b1a01424b1a,COMPLETED_SUCCESS,88.46,2026-08-24T17:10:25.667961+00:00,content/raw_responses/evidence_prior_202608/EP-02.json
EP-03,Garret2020,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,ce4e52ef5ef4f2db4716c2b46866dbe23a46dd117d3c635f8a120b1a01424b1a,COMPLETED_SUCCESS,86.1,2026-08-24T17:11:54.134648+00:00,content/raw_responses/evidence_prior_202608/EP-03.json
EP-04,Garret2020,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,2e1bdf3fb38aa8ef4f4587af8fc377a33d90da7d7cf6deb3305b29075c65a82a,COMPLETED_SUCCESS,93.55,2026-08-24T17:13:20.236564+00:00,content/raw_responses/evidence_prior_202608/EP-04.json
EP-05,Garret2020,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,2e1bdf3fb38aa8ef4f4587af8fc377a33d90da7d7cf6deb3305b29075c65a82a,COMPLETED_SUCCESS,83.73,2026-08-24T17:14:53.785942+00:00,content/raw_responses/evidence_prior_202608/EP-05.json
EP-06,Garret2020,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,2e1bdf3fb38aa8ef4f4587af8fc377a33d90da7d7cf6deb3305b29075c65a82a,COMPLETED_SUCCESS,84.6,2026-08-24T17:16:17.514028+00:00,content/raw_responses/evidence_prior_202608/EP-06.json
EP-07,Garret2020,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,b9f890345fd0a8ba331460a706086252546aeed6a7de4739854a57a9a3f57ba5,COMPLETED_SUCCESS,114.83,2026-08-24T17:17:42.113074+00:00,content/raw_responses/evidence_prior_202608/EP-07.json
EP-08,Garret2020,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,b9f890345fd0a8ba331460a706086252546aeed6a7de4739854a57a9a3f57ba5,COMPLETED_SUCCESS,85.25,2026-08-24T17:19:36.949262+00:00,content/raw_responses/evidence_prior_202608/EP-08.json
EP-09,Garret2020,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,b9f890345fd0a8ba331460a706086252546aeed6a7de4739854a57a9a3f57ba5,COMPLETED_SUCCESS,86.04,2026-08-24T17:21:02.203120+00:00,content/raw_responses/evidence_prior_202608/EP-09.json
EP-10,Attinger2017,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,882c236a5f5df65b7f6e25b16340d182c1b948ff00cca919c7399fe4105a00ac,COMPLETED_SUCCESS,398.52,2026-08-24T17:22:28.248796+00:00,content/raw_responses/evidence_prior_202608/EP-10.json
