study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,hexp02,2017.0,empirical,11.0,2.0,0.917,0.069,0.925,0.043,1.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,1.0,,0.8,,,0.9,,,0.9,,0.9,1.0,0.9,,,,,1.0,,,0.9,,0.9,,1.0,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,0.0,,,,,,,,,,,
Bakhtiari2021,hexp02,2021.0,computational,5.0,5.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,0.8,0.8,,,0.8,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,0.8,0.8,,,0.8,,,,,,
Bastos2012,hexp02,2012.0,theoretical,17.0,17.0,0.817,0.107,0.85,0.132,0.733,0.125,0.733,0.137,0.875,0.139,0.867,0.094,0.6,,0.8,,,0.9,,0.9,,0.9,0.8,,1.0,0.8,0.8,1.0,,1.0,,,,0.8,0.8,0.6,0.6,0.9,0.7,,,,,,,,,,0.6,,0.8,,,0.9,,0.6,,0.9,0.6,,1.0,0.8,0.8,1.0,,1.0,,,,0.8,1.0,0.6,1.0,0.8,0.8,,,,,,,,,
Bastos2020,hexp02,2020.0,empirical,4.0,10.0,0.0,0.0,0.5,0.3,0.6,0.2,0.9,0.1,1.0,0.0,0.95,0.05,,,,,,,,,,,,,0.2,,,,,,,,,,0.8,,0.8,,,0.4,,,,,,,,,,,,,,1.0,,0.8,,,,,1.0,,,1.0,,1.0,,,,,1.0,,1.0,0.9,1.0,,0.9,,,,,,,
Bekinschtein2009,hexp02,2009.0,empirical,7.0,4.0,0.1,0.1,0.733,0.249,0.75,0.25,0.0,0.0,0.95,0.05,-0.1,0.9,,,,0.2,0.0,,,,,,,,1.0,,,,,,,,0.4,0.8,,,,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,0.9,,,,,,0.8,,,,,,,,,-1.0
Chao2018,hexp02,2018.0,empirical,9.0,8.0,0.85,0.05,0.88,0.147,0.95,0.05,0.85,0.05,0.92,0.098,0.9,0.0,,,,,,0.8,,0.9,,,,,1.0,,,0.7,,,,,1.0,0.7,1.0,,,,1.0,,,0.9,,,,,,,,,,,,0.8,,0.9,,,,,1.0,,,1.0,,,,,1.0,0.8,0.8,,,,,,,0.9,,,,,,
Friston2010,hexp02,2010.0,theoretical,5.0,6.0,0.0,0.0,0.9,0.082,0.9,0.0,0.7,0.0,0.733,0.17,0.9,0.0,,,,,,,,,,,,,0.9,,,,1.0,,,,,,0.8,,0.9,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,0.9,,,,0.8,,,,,,0.5,,0.9,0.9,,,,,,,,,,
Furutachi2024,hexp02,2024.0,empirical,6.0,6.0,0.925,0.043,0.95,0.05,0.0,0.0,0.75,0.206,0.95,0.05,0.0,0.0,0.9,,,,,,0.9,,1.0,,,0.9,0.9,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,0.9,,1.0,,,0.6,0.9,,,,,,,,,,,1.0,,,,,,,,,,,,
Garret2020,hexp02,2020.0,empirical,4.0,4.0,0.867,0.047,0.5,0.0,0.0,0.0,0.8,0.082,0.5,0.0,0.0,0.0,,,,,,0.8,,,0.9,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,hexp02,2022.0,computational,2.0,2.0,0.0,0.0,0.0,0.0,0.65,0.15,0.0,0.0,0.0,0.0,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,
Hertag2020,hexp02,2020.0,computational,8.0,8.0,0.771,0.403,0.8,0.0,0.0,0.0,0.671,0.392,0.8,0.0,0.0,0.0,0.9,-0.2,0.8,,,0.9,,,1.0,,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.2,0.8,,,0.5,,,1.0,,0.7,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,
Jiang&Rao2024,hexp02,2024.0,computational,8.0,7.0,0.575,0.286,0.65,0.35,0.8,0.0,0.833,0.047,1.0,0.0,0.767,0.047,,,,0.1,,0.8,,,,0.8,,0.6,1.0,,,,0.3,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,0.9,,,,0.8,,0.8,1.0,,,,,,,,,,,,,0.8,0.8,,,0.7,,,,,,
Keller2012,hexp02,2012.0,empirical,7.0,5.0,0.95,0.05,0.533,0.519,0.4,0.2,0.85,0.05,0.867,0.047,0.0,0.0,,,,,,0.9,,,,,,1.0,0.9,,,,,0.9,,,,,-0.2,,,,,,,,0.2,0.6,,,,,,,,,,0.9,,,,,,0.8,0.9,,,,,0.9,,,,,0.8,,,,,,,,,,,,,
Keller2018,hexp02,2018.0,theoretical,10.0,11.0,0.767,0.17,0.95,0.05,0.48,0.331,0.825,0.109,0.567,0.544,0.825,0.043,0.6,,,,,0.7,,,,,,1.0,1.0,,,,,0.9,,,,,,,0.4,0.8,,,,,0.8,0.5,,,,-0.1,0.8,,,,,0.7,,,,0.8,,1.0,1.0,,,,,0.9,,,,,,-0.2,0.8,0.8,,,,,0.8,0.9,,,,
Kiebel2008,hexp02,2008.0,computational,7.0,9.0,0.867,0.094,0.767,0.33,0.5,0.0,0.733,0.17,0.833,0.236,0.433,0.386,,,,,,0.8,,,,1.0,,0.8,1.0,,,,0.3,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,0.5,,,,0.8,,0.9,1.0,,,,0.5,,,,,1.0,,,,0.8,,,,-0.1,0.6,,,,,
LaoRodriguez2023,hexp02,2023.0,empirical,8.0,1.0,0.15,0.669,0.7,0.1,0.7,0.1,0.6,0.0,0.0,0.0,0.0,0.0,,,,-0.6,-0.4,0.6,,,,,,1.0,0.8,,,,,,,,,,,0.6,,,,,,,,0.8,,,,0.6,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
LeeMejias2025,hexp02,2025.0,computational,13.0,12.0,0.463,0.477,0.75,0.087,0.5,0.0,0.686,0.112,0.65,0.166,0.8,0.0,0.8,0.6,0.6,-0.7,,0.6,,0.2,0.8,,,0.8,0.8,,,,,0.8,0.8,,,,0.6,,0.5,,,,,,,,,,,,0.5,0.7,0.6,,,0.8,,0.6,0.8,,,0.8,0.4,,,,,0.8,0.8,,,,0.6,,0.8,,,,,,,,,,,
Mikulasch2023,hexp02,2023.0,theoretical,11.0,11.0,0.517,0.146,-0.325,0.661,0.8,0.0,0.583,0.037,-0.3,0.656,0.8,0.0,0.6,0.5,0.6,,,0.2,,,0.6,,,0.6,-0.8,,,,-0.5,0.8,,,,,-0.8,,0.8,,,,,,,,,,,,0.6,0.6,0.5,,,0.6,,,0.6,,,0.6,-0.8,,,,-0.8,0.8,,,,,-0.4,,0.8,,,,,,,,,,,
