study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,gemini3_1_pro,2017.0,empirical,12,9,0.9,0.076,0.875,0.083,1.0,0.0,0.857,0.09,0.8,0.0,1.0,0.0,1.0,0.8,0.8,,,0.9,,,0.9,,0.9,1.0,0.9,,,,,1.0,,,0.8,,0.8,,1.0,,,,,,,,,,,,1.0,0.8,0.8,,,0.8,,,0.8,,0.8,1.0,0.8,,,,,,,,,,,,1.0,,,,,,,,,,,
Bakhtiari2021,gemini3_1_pro,2021.0,computational,5,5,0.8,0.0,0.8,0.0,0.767,0.047,0.8,0.0,0.8,0.0,0.767,0.047,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,0.8,0.8,,,0.7,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,0.8,0.8,,,0.7,,,,,,
Bastos2012,gemini3_1_pro,2012.0,theoretical,19,19,0.817,0.107,0.889,0.137,0.925,0.083,0.817,0.107,0.889,0.137,0.925,0.083,0.6,,0.8,,,0.9,,0.9,,0.9,0.8,,1.0,0.8,0.8,1.0,,1.0,,1.0,,0.8,1.0,0.6,1.0,0.9,0.8,1.0,,,,,,,,,0.6,,0.8,,,0.9,,0.9,,0.9,0.8,,1.0,0.8,0.8,1.0,,1.0,,1.0,,0.8,1.0,0.6,1.0,0.9,0.8,1.0,,,,,,,,
Bastos2020,gemini3_1_pro,2020.0,empirical,13,13,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.967,0.047,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,0.9,1.0,1.0,0.9,1.0,,,,,,
Bekinschtein2009,gemini3_1_pro,2009.0,empirical,9,8,0.55,0.384,0.933,0.094,0.75,0.25,0.9,0.1,0.967,0.047,0.267,0.899,,,,0.4,0.0,0.8,,,,,,1.0,1.0,,,,,,,,0.8,1.0,,,,,0.5,,,,,,,,,1.0,,,,,,0.8,,,,,,1.0,1.0,,,,,,,,0.9,1.0,,,,,0.8,,,1.0,,,,,,-1.0
Chao2018,gemini3_1_pro,2018.0,empirical,9,9,0.85,0.05,0.96,0.08,0.95,0.05,0.85,0.05,0.96,0.08,0.95,0.05,,,,,,0.8,,0.9,,,,,1.0,,,1.0,,,,,1.0,0.8,1.0,,,,1.0,,,0.9,,,,,,,,,,,,0.8,,0.9,,,,,1.0,,,1.0,,,,,1.0,0.8,1.0,,,,1.0,,,0.9,,,,,,
Friston2010,gemini3_1_pro,2010.0,theoretical,7,7,0.8,0.0,0.967,0.047,0.9,0.0,0.8,0.0,0.967,0.047,0.9,0.0,,,,,,0.8,,,,0.8,,,0.9,,,,1.0,,,,,,1.0,,0.9,0.9,,,,,,,,,,,,,,,,0.8,,,,0.8,,,0.9,,,,1.0,,,,,,1.0,,0.9,0.9,,,,,,,,,,
Furutachi2024,gemini3_1_pro,2024.0,empirical,7,7,0.9,0.063,0.95,0.05,0.0,0.0,0.9,0.063,0.95,0.05,0.0,0.0,0.9,,0.8,,,,0.9,,1.0,,,0.9,0.9,,,,,,,,,,,1.0,,,,,,,,,,,,,0.9,,0.8,,,,0.9,,1.0,,,0.9,0.9,,,,,,,,,,,1.0,,,,,,,,,,,,
Garret2020,gemini3_1_pro,2020.0,empirical,4,4,0.867,0.047,0.8,0.0,0.0,0.0,0.867,0.047,0.8,0.0,0.0,0.0,,,,,,0.8,,,0.9,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,gemini3_1_pro,2022.0,computational,3,3,0.0,0.0,0.8,0.0,0.75,0.05,0.0,0.0,0.8,0.0,0.75,0.05,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.7,0.8,,,,,,,,,,
Hertag2020,gemini3_1_pro,2020.0,computational,9,9,0.829,0.266,0.55,0.15,0.0,0.0,0.829,0.266,0.55,0.15,0.0,0.0,0.9,0.2,0.8,,,0.9,,,1.0,,1.0,1.0,0.7,,,,,,,,,,0.4,,,,,,,,,,,,,,0.9,0.2,0.8,,,0.9,,,1.0,,1.0,1.0,0.7,,,,,,,,,,0.4,,,,,,,,,,,,,
Jiang&Rao2024,gemini3_1_pro,2024.0,computational,11,10,0.8,0.0,0.867,0.094,0.75,0.087,0.8,0.0,0.867,0.094,0.75,0.087,,,,0.8,,0.8,,,,0.8,,0.8,1.0,,,,0.8,,,,,,0.8,,,0.8,0.8,,,0.8,,0.6,,,,,,,,,,0.8,,,,0.8,,0.8,1.0,,,,0.8,,,,,,0.8,,,0.8,0.8,,,0.8,,0.6,,,,
Keller2012,gemini3_1_pro,2012.0,empirical,7,7,0.95,0.05,0.767,0.125,0.6,0.0,0.95,0.05,0.767,0.125,0.6,0.0,,,,,,0.9,,,,,,1.0,0.8,,,,,0.9,,,,,0.6,,,,,,,,0.6,0.6,,,,,,,,,,0.9,,,,,,1.0,0.8,,,,,0.9,,,,,0.6,,,,,,,,0.6,0.6,,,,
