study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,gpt_oss_120b_repa,2017.0,empirical,15,9,0.871,0.103,0.78,0.16,0.533,0.411,0.857,0.09,0.8,0.0,1.0,0.0,1.0,0.8,0.8,,,0.7,,,0.9,,0.9,1.0,0.9,,,0.6,,1.0,,,0.8,,0.6,,1.0,0.0,,,,,,,,0.6,,,1.0,0.8,0.8,,,0.8,,,0.8,,0.8,1.0,0.8,,,,,,,,,,,,1.0,,,,,,,,,,,
Bakhtiari2021,gpt_oss_120b_repa,2021.0,computational,5,7,0.8,0.0,0.8,0.0,0.767,0.047,0.8,0.0,0.7,0.1,0.325,0.766,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,0.8,0.8,,,0.7,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,0.6,-1.0,0.8,0.8,,,0.7,,,,,,
Bastos2012,gpt_oss_120b_repa,2012.0,theoretical,20,21,0.614,0.505,0.811,0.242,0.925,0.083,0.614,0.505,0.867,0.133,0.62,0.614,0.6,,0.8,,,0.9,,0.9,,0.9,0.8,-0.6,0.8,0.7,0.8,1.0,,1.0,,1.0,,0.8,1.0,0.2,1.0,0.9,0.8,1.0,,,,,,,,,0.6,,0.8,,-0.6,0.9,,0.9,,0.9,0.8,,1.0,0.8,0.8,1.0,,0.8,,1.0,,0.8,1.0,0.6,1.0,0.9,0.8,1.0,,,,,,,-0.6,
Bastos2020,gpt_oss_120b_repa,2020.0,empirical,13,13,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.08,0.933,0.075,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,0.8,,1.0,,,1.0,,1.0,0.9,0.8,1.0,0.9,1.0,,,,,,
Bekinschtein2009,gpt_oss_120b_repa,2009.0,empirical,10,9,0.55,0.384,0.75,0.328,0.75,0.25,0.533,0.525,0.967,0.047,0.333,0.806,,,,0.4,0.0,0.8,,,,,,1.0,1.0,,,,,,,,0.8,1.0,0.2,,,,0.5,,,,,,,,,1.0,,,,,,0.8,,-0.2,,,,1.0,1.0,,,,,,,,0.9,1.0,,,,,0.8,,,1.0,,,,,,-0.8
Chao2018,gpt_oss_120b_repa,2018.0,empirical,9,10,0.8,0.0,0.88,0.098,0.95,0.05,0.833,0.17,0.96,0.08,0.95,0.05,,,,,,0.8,,0.8,,,,,1.0,,,0.8,,,,,1.0,0.8,0.8,,,,1.0,,,0.9,,,,,,,,,,,,0.6,1.0,0.9,,,,,1.0,,,1.0,,,,,1.0,0.8,1.0,,,,1.0,,,0.9,,,,,,
Friston2010,gpt_oss_120b_repa,2010.0,theoretical,8,7,0.733,0.094,0.967,0.047,0.85,0.05,0.6,0.2,0.9,0.141,0.9,0.0,,,,,0.6,0.8,,,,0.8,,,0.9,,,,1.0,,,,,,1.0,,0.8,0.9,,,,,,,,,,,,,,,,0.8,,,,0.4,,,0.7,,,,1.0,,,,,,1.0,,0.9,0.9,,,,,,,,,,
Furutachi2024,gpt_oss_120b_repa,2024.0,empirical,8,8,0.76,0.332,0.3,0.638,0.0,0.0,0.86,0.049,0.95,0.05,-1.0,0.0,0.9,,0.1,,,,0.9,,1.0,,,0.9,0.7,,,,,,,-0.6,,,,0.8,,,,,,,,,,,,,0.9,,0.8,,,,0.9,,0.8,,,0.9,0.9,,,,,,,,,,,1.0,,,,,,,,,-1.0,,,
Garret2020,gpt_oss_120b_repa,2020.0,empirical,5,6,0.833,0.094,0.7,0.1,0.0,0.0,0.8,0.122,0.25,0.25,0.0,0.0,,,,,,0.7,,,0.9,,,0.9,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,0.9,,,0.9,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,
Greedy2022,gpt_oss_120b_repa,2022.0,computational,6,4,0.0,0.0,0.8,0.0,0.725,0.164,0.0,0.0,0.4,0.4,0.7,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,0.8,,0.7,0.6,0.6,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.8,,0.6,0.8,,,,,,,,,,
