study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,gpt_oss_120b_repb,2017.0,empirical,14,11,0.943,0.073,0.9,0.089,0.6,0.4,0.875,0.139,0.6,0.0,0.6,0.4,1.0,1.0,0.8,,,0.9,,,1.0,,0.9,1.0,0.9,,,,,1.0,1.0,,0.8,,0.8,,1.0,,,,,0.2,,,,,,,1.0,1.0,0.8,1.0,,0.8,,,0.8,,0.6,1.0,0.6,,,,,,,,,,,,1.0,,,,,,,,,0.2,,
Bakhtiari2021,gpt_oss_120b_repb,2021.0,computational,10,7,0.65,0.296,0.667,0.34,0.767,0.047,0.8,0.0,0.65,0.05,0.725,0.083,,,1.0,0.6,,0.8,0.2,,,,,,0.8,,0.2,,,,,,,,,1.0,,0.8,0.8,,,0.7,,,,,,,,,,,,0.8,,,,,,,0.7,,,0.6,,,,,,,,,,0.8,0.8,,,0.7,,,0.6,,,
Bastos2012,gpt_oss_120b_repb,2012.0,theoretical,19,20,0.817,0.107,0.811,0.152,0.875,0.083,0.833,0.125,0.88,0.183,0.925,0.083,0.6,,0.8,,,0.9,,0.9,,0.9,0.8,,0.8,0.8,0.7,1.0,,1.0,,0.6,,0.8,1.0,0.6,0.8,0.9,0.8,1.0,,,,,,,,,0.6,,0.8,,,0.9,,0.9,,1.0,0.8,,1.0,0.8,0.8,1.0,1.0,1.0,,1.0,,0.8,1.0,0.4,1.0,0.9,0.8,1.0,,,,,,,,
Bastos2020,gpt_oss_120b_repb,2020.0,empirical,14,14,0.733,0.189,1.0,0.0,1.0,0.0,0.9,0.1,1.0,0.0,0.914,0.136,,,0.6,,,0.6,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.8,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,0.9,1.0,1.0,0.9,1.0,,,,,0.6,
Bekinschtein2009,gpt_oss_120b_repb,2009.0,empirical,10,10,0.55,0.384,0.833,0.125,0.7,0.216,0.55,0.357,0.9,0.141,0.267,0.899,,,,0.4,0.0,0.8,,,,,,1.0,0.8,,,,,,,,0.7,1.0,,,,,0.5,,,,,,0.6,,,1.0,,,0.2,,,0.8,,,,0.2,,1.0,1.0,,,,,,,,0.7,1.0,,,,,0.8,,,1.0,,,,,,-1.0
Chao2018,gpt_oss_120b_repb,2018.0,empirical,12,11,0.633,0.309,0.96,0.08,0.875,0.164,0.767,0.125,0.96,0.08,0.967,0.047,,,,,,0.8,,0.9,0.2,,,,1.0,,,1.0,,,,,1.0,0.8,1.0,,,,0.6,,,0.9,1.0,1.0,,,,,,,,0.6,,0.8,,0.9,,,,,1.0,,,1.0,,,,,1.0,0.8,1.0,,,,1.0,,,0.9,1.0,,,,,
Friston2010,gpt_oss_120b_repb,2010.0,theoretical,8,10,0.9,0.1,0.9,0.082,0.967,0.047,0.8,0.0,0.82,0.183,0.8,0.141,,,,,,0.8,,,,1.0,,,0.9,,,,1.0,,,,,,0.8,,0.9,1.0,,,,,,,,,1.0,,,,,,,0.8,,,,0.8,,,0.9,0.6,,,1.0,,,,0.6,,1.0,,0.9,0.9,,,,,0.6,,,,,
Furutachi2024,gpt_oss_120b_repb,2024.0,empirical,8,9,0.92,0.075,0.7,0.356,0.0,0.0,0.967,0.047,0.95,0.05,0.6,0.0,0.9,,0.8,,,,0.9,,1.0,,,1.0,0.9,,,,,,,0.2,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,0.9,,1.0,1.0,,0.9,0.9,,,,,,,,,,,1.0,,,,,,,,,,,,0.6
Garret2020,gpt_oss_120b_repb,2020.0,empirical,5,9,0.9,0.071,0.8,0.0,0.0,0.0,0.571,0.333,0.8,0.0,0.2,0.0,,,,,1.0,0.8,,,0.9,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.2,0.8,,,0.7,0.2,0.2,0.9,0.8,,,,,,,,,,,,,0.2,,,,,,,,,,
Greedy2022,gpt_oss_120b_repb,2022.0,computational,5,4,1.0,0.0,0.8,0.2,0.75,0.05,1.0,0.0,0.8,0.0,0.75,0.05,,,,,,,,,,,,1.0,0.6,,,,,,,,,,1.0,,0.7,0.8,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.8,,0.7,0.8,,,,,,,,,,
