study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,hpchai_05,2017.0,empirical,14,0,0.9,0.153,0.8,0.179,0.533,0.411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.8,,,0.6,,,1.0,,1.0,1.0,1.0,,,0.6,,1.0,,,0.8,,0.6,,1.0,0.0,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakhtiari2021,hpchai_05,2021.0,computational,5,7,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.7,0.1,0.35,0.779,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,0.8,0.8,,,0.8,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,0.6,-1.0,0.8,0.8,,,0.8,,,,,,
Bastos2012,hpchai_05,2012.0,theoretical,18,19,0.629,0.517,0.75,0.26,0.933,0.094,0.629,0.517,0.825,0.156,0.55,0.669,0.6,,0.8,,,1.0,,0.8,,1.0,0.8,-0.6,0.6,0.6,0.8,1.0,,1.0,,,,0.8,1.0,0.2,1.0,1.0,0.8,,,,,,,,,,0.6,,0.8,,-0.6,1.0,,0.8,,1.0,0.8,,1.0,0.8,0.8,1.0,,0.6,,,,0.8,1.0,0.6,1.0,1.0,0.8,,,,,,,,-0.6,
Bastos2020,hpchai_05,2020.0,empirical,0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.173,0.8,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,0.6,,,,,1.0,,1.0,0.8,0.6,,0.8,,,,,,,
Bekinschtein2009,hpchai_05,2009.0,empirical,7,5,0.0,0.0,0.667,0.34,0.7,0.3,-0.2,0.0,0.9,0.1,0.1,0.7,,,,0.0,0.0,,,,,,,,1.0,,,,,,,,0.8,,0.2,,,,0.4,,,,,,,,,1.0,,,,,,,,-0.2,,,,,1.0,,,,,,,,0.8,,,,,,0.8,,,,,,,,,-0.6
Chao2018,hpchai_05,2018.0,empirical,8,9,0.7,0.1,0.8,0.179,0.8,0.0,0.8,0.163,0.96,0.08,0.8,0.0,,,,,,0.8,,0.6,,,,,1.0,,,0.6,,,,,1.0,0.8,0.6,,,,,,,0.8,,,,,,,,,,,,0.6,1.0,0.8,,,,,1.0,,,1.0,,,,,1.0,0.8,1.0,,,,,,,0.8,,,,,,
Friston2010,hpchai_05,2010.0,theoretical,6,6,0.6,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.867,0.189,0.9,0.1,,,,,0.6,,,,,,,,1.0,,,,1.0,,,,,,1.0,,0.6,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.6,,,,1.0,,,,,,1.0,,0.8,1.0,,,,,,,,,,
Furutachi2024,hpchai_05,2024.0,empirical,8,7,0.64,0.625,0.2,0.566,0.0,0.0,0.85,0.166,1.0,0.0,-1.0,0.0,1.0,,-0.6,,,,0.8,,1.0,,,1.0,0.6,,,,,,,-0.6,,,,0.6,,,,,,,,,,,,,1.0,,,,,,0.8,,0.6,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,-1.0,,,
Garret2020,hpchai_05,2020.0,empirical,4,6,0.8,0.163,0.6,0.0,0.0,0.0,0.8,0.141,0.1,0.1,0.0,0.0,,,,,,0.6,,,0.8,,,1.0,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,0.8,,,1.0,0.2,,,,,,,,,,,0.0,,,,,,,,,,,,
Greedy2022,hpchai_05,2022.0,computational,5,3,0.0,0.0,0.0,0.0,0.75,0.166,0.0,0.0,0.0,0.0,0.7,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.6,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.6,0.8,,,,,,,,,,
