study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,revgss_x,2017.0,empirical,16,11,-0.471,0.492,-0.04,0.602,0.375,0.349,0.012,0.451,-0.4,0.0,-0.4,0.1,0.7,-0.8,-0.5,,,-0.8,,,-0.7,,-0.5,-0.7,0.1,,,-0.4,,-1.0,,,0.4,,0.7,,0.4,0.6,,,,0.7,,,,-0.2,,,-0.5,-0.1,-0.1,0.3,,-0.6,,,0.9,,0.3,-0.1,-0.4,,,,,,,,,,,,-0.3,,,,,,,,,-0.5,,
Bakhtiari2021,revgss_x,2021.0,computational,7,7,0.05,0.25,0.0,0.8,0.2,0.374,0.6,0.0,-0.2,0.5,0.05,0.087,,,,,,0.3,-0.2,,,,,,0.8,,-0.8,,,,,,,,,,,0.3,-0.3,,,0.6,,,,,,,,,,,,0.6,,,,,,,0.3,,,,,,,,,,,-0.7,0.1,0.1,0.1,,,-0.1,,,,,,
Bastos2012,revgss_x,2012.0,theoretical,20,21,0.171,0.474,-0.233,0.424,-0.4,0.274,0.214,0.398,-0.3,0.464,-0.1,0.61,0.3,,0.9,,,-0.2,,0.8,,-0.2,0.0,-0.4,-0.8,0.1,-0.9,0.2,,-0.3,,0.1,,0.1,-0.7,0.1,-0.5,-0.2,-0.1,-0.8,,,,,,,,,0.2,,-0.2,,0.1,1.0,,-0.3,,0.3,0.4,,-0.6,-0.3,-0.8,-0.6,,-0.4,,0.4,,-0.9,0.4,0.1,-0.4,-0.7,0.3,0.9,,,,,,,-0.6,
Bastos2020,revgss_x,2020.0,empirical,14,13,-0.7,0.141,-0.6,0.179,0.467,0.335,-0.7,0.1,-0.1,0.469,-0.117,0.46,,,-0.8,,,-0.8,,-0.5,,,,,-0.7,,,-0.3,,-0.5,,-0.7,,,-0.8,,-0.2,0.6,0.9,0.4,0.6,0.5,,,,,,,,,,,,-0.8,,-0.6,,,,,0.5,,,-0.1,,0.3,,-0.4,,,-0.8,,-0.8,-0.6,0.5,0.0,0.3,-0.1,,,,,,
Bekinschtein2009,revgss_x,2009.0,empirical,10,10,-0.2,0.62,0.05,0.594,-0.7,0.1,0.45,0.364,0.167,0.544,-0.8,0.216,,,,-1.0,0.5,0.3,,,,,,-0.6,0.5,,,,,,,,0.0,0.6,-0.9,,,,-0.6,,,,,,,,,-0.8,,,,,,0.6,,-0.1,,0.4,,0.9,0.0,,,,,,,,-0.4,0.9,,,,,-0.5,,,-0.9,,,,,,-1.0
Chao2018,revgss_x,2018.0,empirical,10,11,-0.133,0.591,-0.52,0.519,0.5,0.2,-0.4,0.3,0.5,0.415,-0.3,0.6,,,,,,0.7,,-0.5,-0.6,,,,-0.3,,,0.4,,,,,-0.8,-0.9,-1.0,,,,0.3,,,0.7,,,,,,,,,,-0.5,,0.1,-0.5,-0.7,,,,,1.0,,,1.0,,,,,0.3,0.1,0.1,,,,-0.9,,,0.3,,,,,,
Friston2010,revgss_x,2010.0,theoretical,8,7,0.1,0.294,-0.367,0.685,-0.1,0.5,-0.25,0.35,-0.033,0.403,-0.55,0.25,,,,,0.4,-0.3,,,,0.2,,,0.6,,,,-0.9,,,,,,-0.8,,-0.6,0.4,,,,,,,,,,,,,,,,-0.6,,,,0.1,,,0.2,,,,-0.6,,,,,,0.3,,-0.8,-0.3,,,,,,,,,,
Furutachi2024,revgss_x,2024.0,empirical,8,9,0.24,0.338,-0.633,0.205,0.0,0.0,0.1,0.638,-0.65,0.05,-0.8,0.0,0.0,,0.2,,,,0.0,,0.1,,,0.9,-0.4,,,,,,,-0.6,,,,-0.9,,,,,,,,,,,,,-0.9,,0.8,,,,-0.2,,1.0,0.0,,-0.1,-0.6,,,,,,,,,,,-0.7,,,,,,,,,-0.8,,,
Garret2020,revgss_x,2020.0,empirical,3,2,0.8,0.1,0.9,0.0,0.0,0.0,0.6,0.0,0.7,0.0,0.0,0.0,,,,,,0.7,,,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,revgss_x,2022.0,computational,3,1,0.9,0.0,0.8,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,,,0.9,,,,,,,,,,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,
