study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,Jake,2017,empirical,19.0,18.0,0.556,0.514,0.333,0.189,0.171,0.198,0.7,0.332,0.333,0.189,0.171,0.198,1.0,0.2,1.0,,-0.6,0.6,0.2,,1.0,,1.0,0.6,0.2,,,,,0.6,,,,,0.2,,0.2,0.2,0.0,,,0.0,,,0.2,0.0,0.6,,1.0,0.2,1.0,,,0.6,0.2,,1.0,,1.0,0.6,0.2,,,,,0.6,,,,,0.2,,0.2,0.2,0.0,,,0.0,,,0.2,0.0,0.6,
Bakhtiari2021,Jake,2021,empirical,3.0,3.0,0.0,0.0,0.0,0.0,0.133,0.094,0.0,0.0,0.0,0.0,0.133,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.0,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.0,,,,0.2,,
Bastos2012,Jake,2012,other,28.0,26.0,0.467,0.462,0.76,0.32,0.689,0.166,0.657,0.333,0.76,0.32,0.689,0.166,0.6,0.2,1.0,-0.2,-0.2,1.0,,0.6,,1.0,0.2,,1.0,0.2,,1.0,1.0,1.0,1.0,0.2,0.6,,1.0,0.6,1.0,1.0,0.6,,0.6,0.6,0.6,0.6,,0.6,0.6,,0.6,0.2,1.0,,,1.0,,0.6,,1.0,0.2,,1.0,0.2,,1.0,1.0,1.0,1.0,0.2,0.6,,1.0,0.6,1.0,1.0,0.6,,0.6,0.6,0.6,0.6,,0.6,0.6,
Bastos2020,Jake,2020,empirical,23.0,21.0,0.4,0.441,0.8,0.346,0.7,0.332,0.56,0.408,0.8,0.346,0.7,0.332,,,0.2,0.2,-0.2,1.0,0.0,1.0,,,0.6,,1.0,,,1.0,0.2,1.0,,1.0,1.0,0.2,1.0,,0.6,0.6,1.0,,1.0,1.0,,,0.2,1.0,0.2,,,,0.2,,,1.0,0.0,1.0,,,0.6,,1.0,,,1.0,0.2,1.0,,1.0,1.0,0.2,1.0,,0.6,0.6,1.0,,1.0,1.0,,,0.2,1.0,0.2,
Bekinschtein2009,Jake,2009,empirical,13.0,14.0,0.3,0.3,0.32,0.24,0.167,0.407,0.6,0.0,0.36,0.32,0.143,0.498,,,,,,0.6,,,,0.0,,,0.6,,,,0.0,,,,0.2,0.6,0.2,,,-0.6,0.2,,0.6,0.2,,,,0.0,,0.6,,,,,,0.6,,,,0.6,,,0.6,,,,-0.2,,,,0.6,0.6,0.2,,,-0.6,0.6,,0.6,0.6,,,,0.2,0.2,-0.6
Chao2019,Jake,2019,empirical,16.0,16.0,0.8,0.2,0.829,0.291,0.429,0.198,0.8,0.2,0.829,0.291,0.429,0.198,,,,,,1.0,,0.6,,,,,1.0,,,1.0,0.6,,,0.2,1.0,1.0,1.0,,0.2,0.6,0.6,,,0.6,,0.2,,0.6,0.2,,,,,,,1.0,,0.6,,,,,1.0,,,1.0,0.6,,,0.2,1.0,1.0,1.0,,0.2,0.6,0.6,,,0.6,,0.2,,0.6,0.2,
Friston2010,Jake,2010,other,21.0,21.0,0.6,0.327,0.657,0.396,0.65,0.312,0.6,0.327,0.657,0.396,0.65,0.312,0.6,,0.6,,,1.0,0.2,,,1.0,0.2,,1.0,,,,1.0,1.0,,0.2,0.2,,1.0,0.2,1.0,1.0,0.6,,0.2,0.6,0.6,,,1.0,0.2,,0.6,,0.6,,,1.0,0.2,,,1.0,0.2,,1.0,,,,1.0,1.0,,0.2,0.2,,1.0,0.2,1.0,1.0,0.6,,0.2,0.6,0.6,,,1.0,0.2,
Furutachi2024,Jake,2024,empirical,23.0,21.0,0.52,0.349,0.12,0.531,0.175,0.185,0.65,0.24,0.12,0.531,0.175,0.185,0.6,,0.6,0.2,-0.2,1.0,0.2,,1.0,0.6,0.6,0.6,0.2,,,,-0.6,0.2,,,,,-0.2,1.0,0.2,0.2,0.2,,,0.0,,0.2,0.0,0.0,0.6,,0.6,,0.6,,,1.0,0.2,,1.0,0.6,0.6,0.6,0.2,,,,-0.6,0.2,,,,,-0.2,1.0,0.2,0.2,0.2,,,0.0,,0.2,0.0,0.0,0.6,
Garret2020,Jake,2020,empirical,19.0,19.0,0.311,0.328,-0.1,0.3,0.133,0.149,0.689,0.314,0.05,0.166,0.167,0.075,,,0.2,0.2,0.0,0.6,0.0,,0.6,0.2,0.0,1.0,0.0,,,,-0.6,0.2,,,,,0.0,,,0.2,0.2,,,0.2,,,,0.2,-0.2,0.2,0.2,0.2,0.6,,,1.0,1.0,,1.0,0.6,0.6,1.0,0.0,,,,-0.2,0.2,,,,,0.2,,,0.2,0.2,,,0.2,,,,0.2,0.2,0.0
Greedy2022,Jake,2022,empirical,14.0,13.0,0.28,0.16,-0.733,0.189,0.333,0.189,0.3,0.173,-0.733,0.189,0.333,0.189,0.2,,0.2,,0.2,0.2,,,,,0.6,,-0.6,,,,-1.0,,,,,,-0.6,,0.2,0.6,0.6,,0.2,0.2,,,,0.2,,,0.2,,0.2,,,0.2,,,,,0.6,,-0.6,,,,-1.0,,,,,,-0.6,,0.2,0.6,0.6,,0.2,0.2,,,,0.2,,
Hertag2020,Jake,2020,other,19.0,19.0,0.75,0.444,0.28,0.16,0.167,0.213,0.75,0.444,0.28,0.16,0.167,0.213,1.0,-0.2,1.0,,,1.0,,,1.0,0.2,1.0,1.0,0.2,,0.2,,0.2,0.6,,,,,0.2,,0.6,0.2,0.0,,,0.0,,,,0.0,0.2,,1.0,-0.2,1.0,,,1.0,,,1.0,0.2,1.0,1.0,0.2,,0.2,,0.2,0.6,,,,,0.2,,0.6,0.2,0.0,,,0.0,,,,0.0,0.2,
JiangRao2024,Jake,2024,other,15.0,15.0,0.4,0.2,0.68,0.299,0.533,0.275,0.4,0.2,0.68,0.299,0.533,0.275,0.2,,,,,0.6,,,,0.2,,0.6,1.0,,,,0.6,,,0.2,0.6,,1.0,,0.6,1.0,0.6,,,0.2,,0.2,,0.6,,,0.2,,,,,0.6,,,,0.2,,0.6,1.0,,,,0.6,,,0.2,0.6,,1.0,,0.6,1.0,0.6,,,0.2,,0.2,,0.6,,
Keller2012,Jake,2012,empirical,16.0,4.0,0.6,0.4,0.467,0.189,0.164,0.115,0.4,0.2,0.2,0.0,0.0,0.0,,,,,,0.2,,,,,,1.0,0.6,,,,,0.6,,,,,0.2,,0.2,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.2,,,,,,0.2,,,,,,0.6,0.2,,,,,0.2,,,,,,,,,,,,,,,,,,
Keller2018,Jake,2018,empirical,22.0,20.0,0.5,0.332,0.28,0.466,0.333,0.422,0.667,0.149,0.28,0.466,0.333,0.422,0.6,,0.6,0.2,-0.2,1.0,,,,0.6,0.6,0.6,0.6,,,,-0.6,0.6,,,0.2,,0.6,,1.0,0.6,0.2,,,0.2,0.6,0.6,,0.2,0.2,-0.6,0.6,,0.6,,,0.6,,,,0.6,0.6,1.0,0.6,,,,-0.6,0.6,,,0.2,,0.6,,1.0,0.6,0.2,,,0.2,0.6,0.6,,0.2,0.2,-0.6
Kiebel2008,Jake,2008,other,22.0,22.0,0.52,0.299,0.4,0.283,0.467,0.267,0.52,0.299,0.4,0.283,0.467,0.267,0.2,,,,,0.6,0.2,,,0.6,,1.0,0.6,,-0.2,,0.6,0.6,0.6,,0.2,0.2,0.6,,0.6,1.0,0.6,,0.2,0.6,0.2,0.2,,0.6,0.2,,0.2,,,,,0.6,0.2,,,0.6,,1.0,0.6,,-0.2,,0.6,0.6,0.6,,0.2,0.2,0.6,,0.6,1.0,0.6,,0.2,0.6,0.2,0.2,,0.6,0.2,
LaoRodriguez2023,Jake,2023,empirical,22.0,20.0,0.6,0.358,0.067,0.094,0.273,0.214,0.6,0.327,-0.067,0.249,0.273,0.214,,,,0.2,0.6,1.0,,,,0.2,,1.0,0.2,,,,0.0,0.0,0.0,,,,0.0,0.2,0.0,0.2,0.2,,0.2,0.2,0.0,0.6,0.6,0.2,0.2,0.6,,,,,,0.6,,,,0.2,,1.0,0.0,,,,-0.6,0.0,0.0,,,,0.0,0.2,0.0,0.2,0.2,,0.2,0.2,0.0,0.6,0.6,0.2,0.2,0.6
