factor_id,factor_code,factor_name,overlap_N,mean_human,mean_council,MAE,mean_signed_diff,directional_disagreement_pct
4,F04,Habituation to Sequence,2,-0.25,0.4,0.6499999999999999,0.6499999999999999,100.0
22,F22,Ascending Latency Shift,2,0.6,0.0,0.6,-0.6,100.0
26,F26,Hierarchical Mechanism Invariance,7,0.8142857142857143,0.2571428571428571,0.5571428571428572,-0.5571428571428572,0.0
2,F02,Divisive Inhibition (PV),5,0.21999999999999997,0.76,0.54,0.54,40.0
5,F05,Synaptic Depression (Adaptation),1,0.1,0.6,0.5,0.5,0.0
31,F31,Cross-Modal Ubiquity,2,0.7,0.2,0.49999999999999994,-0.49999999999999994,0.0
1,F01,Subtractive Inhibition (SST),16,0.71875,0.2625,0.45625,-0.45625,18.75
7,F07,Selective Sharpening,1,0.6,1.0,0.4,0.4,0.0
13,F13,Feedforward Deviance Detection,20,0.725,0.5199999999999999,0.36500000000000005,-0.205,5.0
25,F25,Canonical Microcircuit Ubiquity,5,0.82,0.48,0.33999999999999997,-0.33999999999999997,0.0
16,F16,Feedforward Ascending Gamma,3,1.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.0
8,F08,Alpha/Beta Mediated Suppression,4,0.5249999999999999,0.39999999999999997,0.325,-0.12500000000000003,0.0
18,F18,Feedforward Non-local Supragranular Activity (L2/3),6,0.9166666666666666,0.6,0.31666666666666676,-0.31666666666666676,0.0
3,F03,Inhibition (GABA),9,0.688888888888889,0.4222222222222222,0.3111111111111111,-0.2666666666666667,11.11111111111111
10,F10,Precision Weighting (Gain),9,0.7444444444444444,0.4444444444444444,0.30000000000000004,-0.30000000000000004,0.0
19,F19,Feedforward Non-local Granular Activity (L4),1,0.9,0.6,0.30000000000000004,-0.30000000000000004,0.0
23,F23,Feedforward Error Propagation,12,0.6749999999999999,0.6166666666666666,0.25833333333333336,-0.058333333333333355,0.0
21,F21,Feedforward Non-local Activation,2,0.55,0.6,0.25,0.04999999999999996,0.0
36,F36,State-Independent Ubiquity,2,0.15,0.4,0.25,0.25,50.0
9,F09,VIP-Mediated Disinhibition,8,0.7875000000000001,0.575,0.2375,-0.21250000000000002,0.0
11,F11,E/I Balance Shift,5,0.6599999999999999,0.72,0.18,0.059999999999999984,0.0
12,F12,Omission Response,10,0.89,0.8,0.17,-0.09000000000000004,0.0
30,F30,Hierarchical Presence (V1-PFC),3,0.43333333333333335,0.6,0.16666666666666666,0.16666666666666666,0.0
6,F06,Activity Suppression,29,0.7241379310344827,0.5862068965517241,0.16551724137931031,-0.13793103448275862,0.0
27,F27,Hierarchical Activity Ubiquity,8,0.6375,0.725,0.13750000000000004,0.08750000000000005,0.0
24,F24,Subcortical Feedforward Relaying,2,0.7,0.6,0.1,-0.1,0.0
32,F32,Interspecies Hierarchical Ubiquity,1,0.7,0.6,0.09999999999999998,-0.09999999999999998,0.0
