paper_id,paired_cell_N,full_mean_score,nofigure_mean_score,signed_difference,mae,full_rank,nofigure_rank
Attinger2017,16,0.5125,0.75,0.2375,0.2625,21,12
Bakhtiari2021,0,,,,,29,30
Bastos2012,38,0.6683,0.8947,0.2264,0.2421,6,3
Bastos2020,32,0.725,0.8235,0.0985,0.2,3,6
Bekinschtein2009,13,0.4625,0.7308,0.2683,0.2846,24,15
Chao2018,27,0.763,0.7407,-0.0222,0.2296,2,14
Friston2010,18,0.5167,0.5,-0.0167,0.1,20,24
Furutachi2024,20,0.71,0.7237,0.0137,0.225,4,16
Garret2020,7,0.7778,1.0,0.2222,0.1857,1,1
Greedy2022,0,0.6,0.5,-0.1,,13,24
Hertag2020,20,0.6077,0.7917,0.184,0.32,12,8
Jiang&Rao2024,18,0.6333,0.6667,0.0333,0.2333,9,17
Keller2012,0,0.4333,,,,27,30
Keller2018,33,0.5278,0.6081,0.0803,0.1667,18,21
Kiebel2008,9,0.6375,0.6364,-0.0011,0.1444,8,20
LaoRodriguez2023,8,0.5214,0.6429,0.1214,0.1125,19,19
LeeMejias2025,39,0.6205,0.8511,0.2306,0.2103,11,4
Mikulasch2023,4,0.5467,0.25,-0.2967,0.35,16,27
Nejad2025,14,0.4545,0.7778,0.3232,0.2857,25,10
Payeur2021,4,0.5875,0.6,0.0125,0.125,14,22
Rao&Ballard1999,26,0.6692,0.8214,0.1522,0.2231,5,7
Rao2024,34,0.6333,0.75,0.1167,0.2,9,12
Sacramento2018,30,0.5706,0.6562,0.0857,0.14,15,18
Spratling2008,0,,0.7917,,,29,8
Spratling2010,11,0.4545,0.8462,0.3916,0.4364,25,5
Srinivasan1982,8,0.65,1.0,0.35,0.35,7,1
VanDerveer2021,24,0.5,0.5714,0.0714,0.1875,22,23
Wacongne2011,16,0.4667,0.2222,-0.2444,0.175,23,28
Wacongne2012,31,0.5425,0.7742,0.2317,0.3129,17,11
Westerberg&Xiong2025,33,-0.1091,-0.2308,-0.1217,0.2727,28,29
Yamins2014,0,,0.5,,,29,24
