paper_id,condition,repeat,context,factor,score,call_id,scientific_model,temperature,parse_status,parser_method
Attinger2017,NO_FIGURE_TEXT,1,LO,Subtractive Inhibition (SST),1.0,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,Subtractive Inhibition (SST),1.0,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,Divisive Inhibition (PV),,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,Divisive Inhibition (PV),,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,Inhibition (GABA),0.5,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,Inhibition (GABA),0.5,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,Habituation to Sequence,,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,Habituation to Sequence,,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,Synaptic Depression (Adaptation),,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,Synaptic Depression (Adaptation),,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,Activity Suppression,1.0,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,Activity Suppression,1.0,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,Selective Sharpening,,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,Selective Sharpening,,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,Alpha/Beta Mediated Suppression,,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,Alpha/Beta Mediated Suppression,,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,VIP-Mediated Disinhibition,1.0,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,VIP-Mediated Disinhibition,1.0,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,Precision Weighting (Gain),,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,Precision Weighting (Gain),,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,LO,E/I Balance Shift,1.0,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
Attinger2017,NO_FIGURE_TEXT,1,GO,E/I Balance Shift,1.0,NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,gemma-4-31b-it,0.0,valid,strict_json
