study_name,agent_,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-count,GO-count
Attinger2017,human_consensus_h12,1.0,,0.9,,,0.8,,,0.9,,0.9,0.8,0.6,,,,,0.8,,,,,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0.883,0.069,0.667,0.094,0.6,0.0,0.5,0.0,0.0,0.0,0.1,0.0,10,2
Bakhtiari2021,human_consensus_h12,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.4,,,,,,,0.0,0.0,0.0,0.0,0.45,0.05,0.0,0.0,0.0,0.0,0.45,0.05,2,2
Bastos2012,human_consensus_h12,0.6,,0.9,,,0.9,,0.8,,0.9,0.5,,1.0,0.5,,1.0,,1.0,,,,,0.9,0.6,0.8,0.9,0.6,,,,,,,,,,0.6,,0.9,,,0.9,,0.6,,0.9,0.4,,1.0,0.5,,1.0,,1.0,,,,,1.0,0.6,1.0,0.9,0.7,,,,,,,,,,0.767,0.16,0.833,0.205,0.767,0.125,0.717,0.195,0.85,0.214,0.867,0.125,15,15
Bastos2020,human_consensus_h12,,,,,,,,,,,,,0.6,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,1.0,,0.9,,,,,1.0,,,1.0,,1.0,,,,,1.0,,0.8,0.8,1.0,,0.9,,,,,,,,0.0,0.0,0.75,0.15,0.7,0.0,0.95,0.05,1.0,0.0,0.875,0.083,3,10
Bekinschtein2009,human_consensus_h12,,,,,,,,,,,,,0.8,,,,,,,,0.3,0.7,,,,,0.3,,,,,,,,,0.8,,,,,,,,,,,,,0.8,,,,,,,,0.8,,,,,,0.7,,,,,,,,,-0.8,0.0,0.0,0.6,0.216,0.55,0.25,0.0,0.0,0.8,0.0,-0.05,0.75,5,4
Chao2018,human_consensus_h12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Friston2010,human_consensus_h12,,,,,,,,,,,,,0.9,,,,1.0,,,,,,0.9,,0.9,0.9,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,,,,0.9,,,,,,0.8,,0.9,0.9,,,,,,,,,,,0.0,0.0,0.933,0.047,0.9,0.0,0.8,0.0,0.867,0.047,0.9,0.0,5,6
Furutachi2024,human_consensus_h12,0.8,,,,,,0.6,,1.0,,,0.8,0.6,,,,,,,,,,,1.0,,,,,,,,,,,,,0.6,,,,,,0.6,,1.0,,,0.6,0.6,,,,,,,,,,,1.0,,,,,,,,,,,,,0.8,0.141,0.8,0.2,0.0,0.0,0.7,0.173,0.8,0.2,0.0,0.0,6,6
Garret2020,human_consensus_h12,,,,,,0.7,,,0.8,,,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.9,,,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.082,0.2,0.0,0.0,0.0,0.867,0.047,0.2,0.0,0.0,0.0,4,4
Greedy2022,human_consensus_h12,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,0.0,0.0,0.0,0.0,0.55,0.05,0.0,0.0,0.0,0.0,0.6,0.1,2,2
Hertag2020,human_consensus_h12,0.9,-0.2,0.9,,,0.9,,,1.0,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.2,0.9,,,0.8,,,1.0,,0.8,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.786,0.405,0.5,0.0,0.0,0.0,0.743,0.392,0.5,0.0,0.0,0.0,8,8
Jiang&Rao2024,human_consensus_h12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Keller2012,human_consensus_h12,,,,,,0.6,,,,,,1.0,0.8,,,,,0.8,,,,,0.0,,,,,,,,0.2,0.4,,,,,,,,,,0.6,,,,,,0.7,0.6,,,,,0.6,,,,,,,,,,,,,,,,,,,0.8,0.2,0.533,0.377,0.3,0.1,0.65,0.05,0.6,0.0,0.0,0.0,7,4
Keller2018,human_consensus_h12,0.6,,,,,0.8,,,,,,0.8,0.8,,,,,0.8,,,,,,,0.7,0.7,,,,,0.7,0.6,,,,-0.3,0.7,,,,,0.6,,,,0.7,,1.0,0.8,,,,,0.8,,,,,,,0.9,0.7,,,,,0.7,0.8,,,,,0.733,0.094,0.8,0.0,0.48,0.392,0.75,0.15,0.8,0.0,0.775,0.083,10,10
Kiebel2008,human_consensus_h12,,,,,,0.7,,,,0.8,,0.9,0.8,,,,0.4,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,0.6,,,,0.7,,0.9,0.8,,,,0.6,,,,,0.6,,,,0.9,,,,0.2,0.4,,,,,,0.8,0.082,0.6,0.163,0.8,0.0,0.733,0.125,0.667,0.094,0.5,0.294,7,9
LaoRodriguez2023,human_consensus_h12,,,,-0.2,0.1,0.8,,,,,,1.0,0.5,,,,,,,,,,,0.4,,,,,,,,0.7,,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.425,0.492,0.45,0.05,0.65,0.05,0.8,0.0,0.0,0.0,0.0,0.0,8,1
LeeMejias2025,human_consensus_h12,0.9,0.3,0.8,,,0.8,,0.2,0.9,,,0.9,0.9,,,,,0.9,0.9,,,,0.8,,0.6,,,,,,,,,,,,0.8,0.3,0.8,,,0.9,,0.4,0.9,,,0.7,0.7,,,,,0.9,0.9,,,,0.8,,0.7,,,,,,,,,,,,0.686,0.28,0.875,0.043,0.6,0.0,0.686,0.223,0.825,0.083,0.7,0.0,12,12
Mikulasch2023,human_consensus_h12,0.6,0.6,0.6,,,0.4,,,0.4,,,0.6,-0.1,,,,-0.6,0.7,,,,,-0.1,,0.7,,,,,,,,,,,,0.6,0.6,0.6,,,0.6,,,0.4,,,0.6,-0.1,,,,-0.7,0.7,,,,,0.1,,0.7,,,,,,,,,,,,0.533,0.094,-0.025,0.466,0.7,0.0,0.567,0.075,0.0,0.5,0.7,0.0,11,11
Nejad2025,human_consensus_h12,,,,,,0.5,,,,,,0.7,0.5,,,,,,,,,,-0.2,,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,0.6,0.5,,,,,,,,,,-0.1,,0.7,,,,,,,,,,,,0.6,0.1,0.15,0.35,0.7,0.0,0.55,0.05,0.2,0.3,0.7,0.0,5,5
Payeur2021,human_consensus_h12,0.3,,0.2,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.05,0.0,0.0,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.0,3,2
Rao&Ballard1999,human_consensus_h12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
