study_name,context,factor_column,human_score,council_score,signed_difference,absolute_difference,is_diagnostic_divergence
Nejad2025,LO,LO-F17,-1.0,0.8,-1.8,1.8,True
Greedy2022,GO,GO-F17,-1.0,0.633,-1.633,1.633,True
Greedy2022,LO,LO-F17,-1.0,0.567,-1.567,1.567,True
Greedy2022,LO,LO-F23,-0.6,0.9,-1.5,1.5,True
Greedy2022,GO,GO-F23,-0.6,0.867,-1.467,1.467,True
Nejad2025,LO,LO-F23,-0.6,0.825,-1.425,1.425,True
Mikulasch2023,LO,LO-F17,-0.6,0.75,-1.35,1.35,True
Furutachi2024,LO,LO-F17,-0.6,0.75,-1.35,1.35,True
Keller2018,LO,LO-F17,-0.6,0.733,-1.333,1.333,True
Greedy2022,LO,LO-F13,-0.6,0.7,-1.3,1.3,True
Keller2018,GO,GO-F17,-0.6,0.657,-1.257,1.257,True
Sacramento2018,LO,LO-F17,-1.0,0.25,-1.25,1.25,True
Garret2020,GO,GO-F12,1.0,-0.225,1.225,1.225,True
Bekinschtein2009,LO,LO-F36,0.6,-0.6,1.2,1.2,True
Garret2020,LO,LO-F17,-0.6,0.6,-1.2,1.2,True
Greedy2022,GO,GO-F13,-0.6,0.6,-1.2,1.2,True
Payeur2021,GO,GO-F23,-0.6,0.567,-1.167,1.167,True
Furutachi2024,GO,GO-F24,1.0,-0.15,1.15,1.15,True
Payeur2021,LO,LO-F23,-0.6,0.533,-1.133,1.133,True
Payeur2021,LO,LO-F17,-0.6,0.5,-1.1,1.1,True
Attinger2017,LO,LO-F05,-0.6,0.5,-1.1,1.1,True
Sacramento2018,LO,LO-F23,-0.6,0.5,-1.1,1.1,True
Mikulasch2023,LO,LO-F04,0.2,-0.9,1.1,1.1,True
Hertag2020,GO,GO-F02,-0.2,0.867,-1.067,1.067,True
Hertag2020,LO,LO-F02,-0.2,0.833,-1.033,1.033,True
Furutachi2024,LO,LO-F23,-0.2,0.825,-1.025,1.025,True
Srinivasan1982,GO,GO-F24,0.0,1.0,-1.0,1.0,True
Payeur2021,GO,GO-F17,-0.6,0.4,-1.0,1.0,True
LaoRodriguez2023,GO,GO-F17,-0.6,0.367,-0.967,0.967,True
Srinivasan1982,GO,GO-F01,0.0,0.943,-0.943,0.943,True
Bekinschtein2009,GO,GO-F13,0.6,-0.333,0.933,0.933,True
Bastos2012,LO,LO-F04,-0.2,0.7,-0.9,0.9,True
Srinivasan1982,GO,GO-F06,0.0,0.9,-0.9,0.9,True
Bekinschtein2009,LO,LO-F26,-0.6,0.3,-0.9,0.9,True
Bekinschtein2009,GO,GO-F26,-0.6,0.3,-0.9,0.9,True
Srinivasan1982,GO,GO-F23,0.0,0.9,-0.9,0.9,True
Keller2018,LO,LO-F05,-0.2,0.683,-0.883,0.883,True
Srinivasan1982,GO,GO-F17,0.0,0.875,-0.875,0.875,True
Mikulasch2023,GO,GO-F13,0.6,-0.267,0.867,0.867,True
Srinivasan1982,GO,GO-F11,0.0,0.867,-0.867,0.867,True
Sacramento2018,GO,GO-F17,-1.0,-0.15,-0.85,0.85,True
LaoRodriguez2023,LO,LO-F06,1.0,0.15,0.85,0.85,True
Mikulasch2023,GO,GO-F18,0.6,-0.24,0.84,0.84,True
Spratling2010,LO,LO-F23,0.0,0.84,-0.84,0.84,True
Nejad2025,GO,GO-F17,-1.0,-0.167,-0.833,0.833,True
Garret2020,GO,GO-F10,0.6,-0.233,0.833,0.833,True
Garret2020,GO,GO-F11,0.6,-0.225,0.825,0.825,True
Mikulasch2023,GO,GO-F23,0.6,-0.225,0.825,0.825,True
Srinivasan1982,GO,GO-F03,0.0,0.825,-0.825,0.825,True
Furutachi2024,LO,LO-F06,1.0,0.175,0.825,0.825,True
Mikulasch2023,GO,GO-F11,0.6,-0.217,0.817,0.817,True
Attinger2017,LO,LO-F26,0.2,1.0,-0.8,0.8,True
LeeMejias2025,LO,LO-F36,-0.2,0.6,-0.8,0.8,True
LeeMejias2025,GO,GO-F36,-0.2,0.6,-0.8,0.8,True
Furutachi2024,LO,LO-F33,0.0,0.8,-0.8,0.8,True
Mikulasch2023,GO,GO-F10,0.6,-0.2,0.8,0.8,True
Mikulasch2023,GO,GO-F12,0.6,-0.2,0.8,0.8,True
Mikulasch2023,GO,GO-F19,0.6,-0.2,0.8,0.8,True
Keller2012,LO,LO-F29,0.2,1.0,-0.8,0.8,True
Srinivasan1982,GO,GO-F13,0.0,0.8,-0.8,0.8,True
Mikulasch2023,GO,GO-F25,0.6,-0.2,0.8,0.8,True
VanDerveer2021,LO,LO-F02,0.0,0.8,-0.8,0.8,True
Srinivasan1982,GO,GO-F07,0.0,0.78,-0.78,0.78,True
Nejad2025,GO,GO-F24,0.6,-0.175,0.775,0.775,True
LeeMejias2025,LO,LO-F02,0.0,0.771,-0.771,0.771,True
Hertag2020,GO,GO-F12,1.0,0.233,0.767,0.767,True
Furutachi2024,GO,GO-F06,1.0,0.25,0.75,0.75,True
LeeMejias2025,GO,GO-F02,0.0,0.75,-0.75,0.75,True
Keller2018,GO,GO-F36,-0.6,0.15,-0.75,0.75,True
Bastos2012,LO,LO-F05,-0.2,0.55,-0.75,0.75,True
Keller2018,LO,LO-F36,-0.6,0.15,-0.75,0.75,True
Kiebel2008,GO,GO-F29,0.2,0.94,-0.74,0.74,True
Nejad2025,GO,GO-F12,0.6,-0.133,0.733,0.733,True
Furutachi2024,GO,GO-F12,0.6,-0.133,0.733,0.733,True
Spratling2010,GO,GO-F23,0.0,0.725,-0.725,0.725,True
Furutachi2024,LO,LO-F18,0.2,0.9,-0.7,0.7,True
Bakhtiari2021,GO,GO-F30,0.0,0.7,-0.7,0.7,True
VanDerveer2021,GO,GO-F17,-0.2,0.5,-0.7,0.7,True
Sacramento2018,LO,LO-F13,-0.2,0.5,-0.7,0.7,True
Bekinschtein2009,LO,LO-F17,0.0,0.68,-0.68,0.68,True
LaoRodriguez2023,LO,LO-F23,0.0,0.675,-0.675,0.675,True
Wacongne2011,LO,LO-F34,0.2,0.875,-0.675,0.675,True
Garret2020,LO,LO-F23,0.0,0.667,-0.667,0.667,True
Attinger2017,LO,LO-F27,0.0,0.667,-0.667,0.667,True
Spratling2010,LO,LO-F01,-0.2,0.467,-0.667,0.667,True
Kiebel2008,GO,GO-F22,0.2,0.867,-0.667,0.667,True
LeeMejias2025,GO,GO-F13,1.0,0.34,0.66,0.66,True
LeeMejias2025,LO,LO-F13,1.0,0.34,0.66,0.66,True
Attinger2017,GO,GO-F34,0.0,0.65,-0.65,0.65,True
Payeur2021,LO,LO-F21,0.0,0.65,-0.65,0.65,True
Wacongne2011,GO,GO-F34,0.2,0.85,-0.65,0.65,True
Attinger2017,LO,LO-F34,0.0,0.65,-0.65,0.65,True
Srinivasan1982,LO,LO-F17,0.2,0.85,-0.65,0.65,True
Mikulasch2023,LO,LO-F16,0.2,0.85,-0.65,0.65,True
Payeur2021,GO,GO-F21,0.0,0.65,-0.65,0.65,True
Keller2012,GO,GO-F18,0.2,0.85,-0.65,0.65,True
Srinivasan1982,GO,GO-F32,0.0,0.633,-0.633,0.633,True
Kiebel2008,GO,GO-F32,0.2,0.833,-0.633,0.633,True
Furutachi2024,LO,LO-F13,0.2,0.833,-0.633,0.633,True
LeeMejias2025,LO,LO-F20,0.2,0.833,-0.633,0.633,True
Attinger2017,LO,LO-F13,0.2,0.833,-0.633,0.633,True
LeeMejias2025,GO,GO-F26,0.2,0.825,-0.625,0.625,True
Nejad2025,LO,LO-F13,0.2,0.825,-0.625,0.625,True
Attinger2017,LO,LO-F23,0.2,0.812,-0.613,0.613,True
LaoRodriguez2023,LO,LO-F26,0.2,0.8,-0.6,0.6,True
LaoRodriguez2023,LO,LO-F25,0.0,0.6,-0.6,0.6,True
Hertag2020,GO,GO-F34,0.0,0.6,-0.6,0.6,True
Hertag2020,LO,LO-F34,0.0,0.6,-0.6,0.6,True
Attinger2017,GO,GO-F26,0.2,0.8,-0.6,0.6,True
Wacongne2011,LO,LO-F17,0.2,0.8,-0.6,0.6,True
Nejad2025,LO,LO-F29,0.0,0.6,-0.6,0.6,True
Srinivasan1982,LO,LO-F34,0.0,0.6,-0.6,0.6,True
Payeur2021,GO,GO-F13,0.0,0.6,-0.6,0.6,True
Wacongne2011,LO,LO-F23,0.2,0.8,-0.6,0.6,True
Bekinschtein2009,LO,LO-F30,0.2,-0.4,0.6,0.6,True
Payeur2021,GO,GO-F14,0.0,0.6,-0.6,0.6,True
Srinivasan1982,LO,LO-F07,0.2,0.8,-0.6,0.6,True
Payeur2021,GO,GO-F15,0.0,0.6,-0.6,0.6,True
Nejad2025,GO,GO-F29,0.0,0.6,-0.6,0.6,True
Spratling2008,LO,LO-F34,0.2,0.8,-0.6,0.6,True
Spratling2008,GO,GO-F01,0.6,0.0,0.6,0.6,True
Rao2024,LO,LO-F10,0.2,0.8,-0.6,0.6,True
Kiebel2008,LO,LO-F29,0.2,0.8,-0.6,0.6,True
Bakhtiari2021,LO,LO-F30,0.0,0.6,-0.6,0.6,True
Spratling2008,GO,GO-F34,0.2,0.8,-0.6,0.6,True
Garret2020,LO,LO-F05,0.0,0.6,-0.6,0.6,True
Payeur2021,LO,LO-F15,0.0,0.6,-0.6,0.6,True
LaoRodriguez2023,GO,GO-F12,1.0,0.4,0.6,0.6,True
Nejad2025,LO,LO-F35,0.0,0.6,-0.6,0.6,True
Nejad2025,GO,GO-F35,0.0,0.6,-0.6,0.6,True
Furutachi2024,LO,LO-F05,-0.2,0.4,-0.6,0.6,True
Friston2010,GO,GO-F20,0.2,0.8,-0.6,0.6,True
Payeur2021,LO,LO-F14,0.0,0.6,-0.6,0.6,True
Payeur2021,GO,GO-F03,0.0,0.6,-0.6,0.6,True
Attinger2017,GO,GO-F23,0.2,0.787,-0.587,0.587,True
Spratling2010,LO,LO-F03,0.2,0.78,-0.58,0.58,True
Bastos2020,LO,LO-F30,1.0,0.425,0.575,0.575,True
LaoRodriguez2023,LO,LO-F17,0.0,0.567,-0.567,0.567,True
VanDerveer2021,LO,LO-F17,0.0,0.567,-0.567,0.567,True
Rao2024,GO,GO-F10,0.2,0.767,-0.567,0.567,True
Bastos2012,LO,LO-F20,0.2,0.767,-0.567,0.567,True
Friston2010,LO,LO-F20,0.2,0.76,-0.56,0.56,True
LeeMejias2025,GO,GO-F27,0.2,0.76,-0.56,0.56,True
Garret2020,LO,LO-F07,0.0,0.55,-0.55,0.55,True
Srinivasan1982,GO,GO-F34,0.0,0.55,-0.55,0.55,True
Garret2020,GO,GO-F26,0.2,0.75,-0.55,0.55,True
Friston2010,LO,LO-F25,1.0,0.45,0.55,0.55,True
Bastos2012,GO,GO-F20,0.2,0.75,-0.55,0.55,True
Wacongne2011,LO,LO-F21,0.2,0.75,-0.55,0.55,True
Payeur2021,LO,LO-F03,0.0,0.55,-0.55,0.55,True
Spratling2010,GO,GO-F03,0.2,0.74,-0.54,0.54,True
LaoRodriguez2023,GO,GO-F06,0.6,0.06,0.54,0.54,True
Friston2010,GO,GO-F25,1.0,0.467,0.533,0.533,True
Payeur2021,GO,GO-F06,0.2,0.733,-0.533,0.533,True
Attinger2017,GO,GO-F27,0.0,0.533,-0.533,0.533,True
Garret2020,LO,LO-F11,0.0,0.525,-0.525,0.525,True
Nejad2025,LO,LO-F22,0.2,0.725,-0.525,0.525,True
Hertag2020,LO,LO-F12,1.0,0.475,0.525,0.525,True
Spratling2008,LO,LO-F13,1.0,0.475,0.525,0.525,True
Hertag2020,LO,LO-F23,0.2,0.725,-0.525,0.525,True
Garret2020,GO,GO-F07,1.0,0.475,0.525,0.525,True
VanDerveer2021,GO,GO-F16,0.2,0.725,-0.525,0.525,True
Bastos2020,GO,GO-F30,1.0,0.475,0.525,0.525,True
VanDerveer2021,GO,GO-F13,0.2,0.72,-0.52,0.52,True
Nejad2025,LO,LO-F06,0.2,0.72,-0.52,0.52,True
Hertag2020,GO,GO-F17,0.2,0.72,-0.52,0.52,True
Bastos2020,LO,LO-F17,0.2,0.72,-0.52,0.52,True
VanDerveer2021,GO,GO-F18,0.2,0.717,-0.517,0.517,True
Payeur2021,LO,LO-F02,0.0,0.5,-0.5,0.5,True
LaoRodriguez2023,GO,GO-F26,0.2,0.7,-0.5,0.5,False
Attinger2017,LO,LO-F25,0.2,0.7,-0.5,0.5,False
LeeMejias2025,LO,LO-F26,0.2,0.7,-0.5,0.5,False
Friston2010,GO,GO-F07,0.2,0.7,-0.5,0.5,False
Attinger2017,GO,GO-F13,0.2,0.7,-0.5,0.5,True
Furutachi2024,GO,GO-F32,0.2,0.7,-0.5,0.5,False
Attinger2017,LO,LO-F30,0.0,0.5,-0.5,0.5,True
Friston2010,GO,GO-F29,0.2,0.7,-0.5,0.5,True
Nejad2025,GO,GO-F30,0.0,0.5,-0.5,0.5,True
Payeur2021,LO,LO-F06,0.2,0.7,-0.5,0.5,True
VanDerveer2021,LO,LO-F21,0.2,0.7,-0.5,0.5,False
Kiebel2008,LO,LO-F01,0.2,0.7,-0.5,0.5,False
Bastos2020,GO,GO-F35,0.2,0.7,-0.5,0.5,False
Mikulasch2023,LO,LO-F29,0.2,0.7,-0.5,0.5,False
Bastos2020,LO,LO-F35,0.2,0.7,-0.5,0.5,False
VanDerveer2021,GO,GO-F25,0.2,0.7,-0.5,0.5,True
Keller2012,GO,GO-F13,0.2,0.7,-0.5,0.5,True
Kiebel2008,LO,LO-F32,0.2,0.7,-0.5,0.5,False
Nejad2025,LO,LO-F27,0.0,0.5,-0.5,0.5,True
Sacramento2018,GO,GO-F25,0.6,0.1,0.5,0.5,True
Bastos2012,GO,GO-F11,0.2,0.7,-0.5,0.5,True
Mikulasch2023,GO,GO-F16,0.2,-0.3,0.5,0.5,True
Payeur2021,LO,LO-F13,0.0,0.5,-0.5,0.5,True
Garret2020,LO,LO-F35,-0.2,0.3,-0.5,0.5,True
Garret2020,LO,LO-F26,0.2,0.7,-0.5,0.5,False
Attinger2017,GO,GO-F30,0.0,0.5,-0.5,0.5,True
Mikulasch2023,LO,LO-F24,0.2,0.7,-0.5,0.5,True
Keller2018,LO,LO-F21,0.2,0.686,-0.486,0.486,False
Bastos2012,GO,GO-F16,1.0,0.517,0.483,0.483,False
VanDerveer2021,LO,LO-F24,0.2,0.68,-0.48,0.48,False
Garret2020,LO,LO-F13,0.0,0.48,-0.48,0.48,False
LeeMejias2025,GO,GO-F34,0.2,0.68,-0.48,0.48,False
LeeMejias2025,LO,LO-F34,0.2,0.68,-0.48,0.48,False
VanDerveer2021,LO,LO-F19,0.2,0.68,-0.48,0.48,False
LaoRodriguez2023,LO,LO-F13,0.2,0.675,-0.475,0.475,False
Mikulasch2023,GO,GO-F24,0.2,-0.275,0.475,0.475,False
Hertag2020,LO,LO-F17,0.2,0.675,-0.475,0.475,False
Nejad2025,GO,GO-F06,0.2,0.675,-0.475,0.475,False
Nejad2025,GO,GO-F23,-0.6,-0.125,-0.475,0.475,False
Kiebel2008,LO,LO-F21,0.2,0.675,-0.475,0.475,False
LaoRodriguez2023,LO,LO-F19,0.0,0.475,-0.475,0.475,False
Furutachi2024,GO,GO-F07,0.2,0.675,-0.475,0.475,False
VanDerveer2021,LO,LO-F25,0.2,0.667,-0.467,0.467,False
Nejad2025,GO,GO-F27,0.0,0.467,-0.467,0.467,False
Wacongne2011,GO,GO-F17,0.2,0.667,-0.467,0.467,False
VanDerveer2021,LO,LO-F09,0.2,0.667,-0.467,0.467,False
Friston2010,LO,LO-F13,1.0,0.533,0.467,0.467,False
Bekinschtein2009,LO,LO-F21,0.2,0.667,-0.467,0.467,False
VanDerveer2021,GO,GO-F09,0.2,0.667,-0.467,0.467,False
