condition,context,hypothesis,paper,human_score,council_score,paired_diff
LO-H1,LO,H1,Attinger2017,0.6928571428571428,0.5216999999999999,0.1711571428571429
LO-H1,LO,H1,Bastos2012,0.6142857142857143,0.43410000000000004,0.18018571428571428
LO-H1,LO,H1,Bekinschtein2009,0.35,0.38,-0.030000000000000027
LO-H1,LO,H1,Furutachi2024,0.7095238095238094,0.17320000000000002,0.5363238095238094
LO-H1,LO,H1,Garret2020,0.5583333333333333,0.2885,0.26983333333333337
LO-H1,LO,H1,Hertag2020,0.72,0.42000000000000004,0.29999999999999993
LO-H1,LO,H1,Keller2012,0.55,0.2783,0.27170000000000005
LO-H1,LO,H1,Keller2018,0.5449999999999999,0.48260000000000003,0.0623999999999999
LO-H1,LO,H1,Kiebel2008,0.5666666666666667,0.3779,0.18876666666666664
LO-H1,LO,H1,LaoRodriguez2023,0.23333333333333334,0.2529,-0.019566666666666677
LO-H1,LO,H1,LeeMejias2025,0.55,0.4445,0.10550000000000004
LO-H1,LO,H1,Mikulasch2023,0.45,0.3223,0.12770000000000004
LO-H1,LO,H1,Nejad2025,0.6000000000000001,0.2862,0.3138000000000001
LO-H1,LO,H1,Payeur2021,0.3,0.15630000000000002,0.14369999999999997
LO-H1,LO,H1,Rao2024,0.6000000000000001,0.5750000000000001,0.025000000000000022
LO-H1,LO,H1,Sacramento2018,0.8166666666666667,0.1741,0.6425666666666666
LO-H1,LO,H1,Spratling2008,0.52,0.2129,0.30710000000000004
LO-H1,LO,H1,Spratling2010,0.76,0.2725,0.4875
LO-H1,LO,H1,Srinivasan1982,0.6666666666666667,0.4995,0.16716666666666674
LO-H1,LO,H1,VanDerveer2021,0.42444444444444446,0.2924,0.13204444444444446
LO-H1,LO,H1,Wacongne2011,0.04166666666666667,0.2285,-0.18683333333333335
LO-H2,LO,H2,Attinger2017,0.7047619047619048,0.6172,0.08756190476190484
LO-H2,LO,H2,Bastos2012,0.7905594405594405,0.3995,0.3910594405594405
LO-H2,LO,H2,Bastos2020,0.6799999999999999,0.43879999999999997,0.24119999999999997
LO-H2,LO,H2,Bekinschtein2009,0.5,0.4789,0.021100000000000008
LO-H2,LO,H2,Friston2010,0.79,0.403,0.387
LO-H2,LO,H2,Furutachi2024,0.611111111111111,0.27149999999999996,0.3396111111111111
LO-H2,LO,H2,Garret2020,0.40714285714285714,0.2868,0.12034285714285714
LO-H2,LO,H2,Greedy2022,0.26,0.20670000000000002,0.053299999999999986
LO-H2,LO,H2,Hertag2020,0.7,0.4413,0.25869999999999993
LO-H2,LO,H2,Keller2012,0.585,0.35960000000000003,0.22539999999999993
LO-H2,LO,H2,Keller2018,0.6458333333333333,0.5267000000000001,0.1191333333333332
LO-H2,LO,H2,Kiebel2008,0.6554545454545454,0.3872,0.2682545454545454
LO-H2,LO,H2,LaoRodriguez2023,0.4888888888888888,0.26539999999999997,0.22348888888888885
LO-H2,LO,H2,LeeMejias2025,0.7383333333333334,0.392,0.3463333333333334
LO-H2,LO,H2,Mikulasch2023,0.20833333333333331,0.37560000000000004,-0.16726666666666673
LO-H2,LO,H2,Nejad2025,0.3828571428571429,0.3247,0.05815714285714291
LO-H2,LO,H2,Payeur2021,0.0,0.1463,-0.1463
LO-H2,LO,H2,Rao2024,0.7266666666666666,0.62825,0.0984166666666666
LO-H2,LO,H2,Sacramento2018,0.2275,0.145,0.08250000000000002
LO-H2,LO,H2,Spratling2008,0.7666666666666668,0.2925,0.47416666666666685
LO-H2,LO,H2,Spratling2010,0.5,0.3206,0.1794
LO-H2,LO,H2,Srinivasan1982,0.6333333333333333,0.3167,0.3166333333333333
LO-H2,LO,H2,Wacongne2011,0.7,0.33540000000000003,0.3645999999999999
LO-H3,LO,H3,Bakhtiari2021,0.46666666666666673,0.06000000000000001,0.40666666666666673
LO-H3,LO,H3,Bastos2012,0.725,0.3427,0.3823
LO-H3,LO,H3,Bastos2020,0.5571428571428572,0.2565,0.30064285714285716
LO-H3,LO,H3,Bekinschtein2009,0.4583333333333333,0.18330000000000002,0.2750333333333333
LO-H3,LO,H3,Friston2010,0.75,0.2906,0.4594
LO-H3,LO,H3,Greedy2022,0.43,0.1,0.32999999999999996
LO-H3,LO,H3,Keller2012,0.28,0.1,0.18000000000000002
LO-H3,LO,H3,Keller2018,0.375,0.4103,-0.0353
LO-H3,LO,H3,Kiebel2008,0.47500000000000003,0.356,0.11900000000000005
LO-H3,LO,H3,LaoRodriguez2023,0.5,0.1923,0.3077
LO-H3,LO,H3,Rao2024,0.6428571428571428,0.72275,-0.07989285714285721
LO-H3,LO,H3,Spratling2008,0.55,0.1753,0.37470000000000003
LO-H3,LO,H3,VanDerveer2021,0.5,0.25,0.25
LO-H3,LO,H3,Wacongne2011,0.5650000000000001,0.30670000000000003,0.25830000000000003
GO-H1,GO,H1,Bastos2012,0.7024999999999999,0.4183,0.2841999999999999
GO-H1,GO,H1,Bastos2020,0.7250000000000001,0.3464,0.3786000000000001
GO-H1,GO,H1,Furutachi2024,0.74,0.17629999999999998,0.5637
GO-H1,GO,H1,Garret2020,0.7583333333333333,0.1778,0.5805333333333333
