dataset_id,relative_path,scientific_role,stratum_classification,experiment_date,row_count,schema_version,sha256_hash,verification_status
council_wide,content/tables/original_council/hpc_table_original_council.csv,Original 10-Model Council Wide Table (examples/hpc_table_final.csv),authoritative_historical,2026-06 baseline,304,wide_90_col,e59bbed96b8a73d6aeafdcfac584e7cee9e5ed77f1215823d82e2913a7e645be,verified
council_agg,content/tables/original_council/aggregated_scores_baseline.csv,Original Council Aggregated Scores Baseline Table,derived_historical,2026-06 baseline,31,wide_90_col,abc02eb7349fdee867a45674dc4ec7928ad0cd34522743b63a785e648deec8ac,verified
rob_primary_scores,content/tables/robustness_202608/scores_31x3x3x3_primary.csv,837-Attempt Authoritative Structured Score Dataset,authoritative_experimental,2026-08 sweep,31536,long_format,84b882a567253d75a9fdeb3d5c2c9d185533e68857bb286ed6a57ad50229d147,verified_frozen
rob_analysis_scores,content/tables/robustness_202608/scores_analysis_provenance.csv,Multi-Tier Provenance Layer with Completeness Status (D_expanded),derived_analysis,2026-08 sweep,35170,long_provenance,2a3b70917dcd60ef66bd3e826d6fe67202604a1ee27cb8d47c1d62380455ca49,verified_frozen
rob_calls_ledger,content/tables/robustness_202608/calls_ledger_837.csv,837-Attempt Atomic Runtime Execution Ledger,authoritative_ledger,2026-08 sweep,837,calls_ledger,b927abad0e751910ac22752b7a82ddd0a023738c3acd5da0ae7c75fa38bc5ece,verified_frozen
expert_reg,content/tables/experts/expert_registry.csv,Multi-Strata Expert Panel Metadata Registry,registry_metadata,2026-08 registry,5,registry_schema,b8d8a146639507ab5a5dcac8a0055b76b9fd573429af5602e630b858f3021f30,verified
hpchai_01,content/tables/experts/human_ai/hpchai_01.csv,Human+AI Expert Pass 1 (Forward Order 1->31),authoritative_strata_2,2026-08 human_ai,31,wide_90_col,39a22339a71fa0430edbcce82c1f0d2745ae434df4f5fac155babb66efdbc2e1,verified_frozen
hpchai_02,content/tables/experts/human_ai/hpchai_02.csv,Human+AI Expert Pass 2 (Reverse Order 31->1),authoritative_strata_2,2026-08 human_ai,31,wide_90_col,55134db989bed1241f38b9865b19a498c36aeaec69206b8834c89c07d86a0044,verified_frozen
hpchai_all,content/tables/experts/human_ai/hpchai_all.csv,Human+AI Expert Combined Dual-Pass Dataset,derived_strata_2,2026-08 human_ai,62,wide_90_col,c65c26a131773a8f5a9c58cab0bf05718b46c56f99704545f2545de84e7fb6d3,verified_frozen
corpus_reg,content/tables/canonical_31_paper_corpus_registry.csv,Canonical 31 Scientific Paper Corpus Registry,registry_metadata,2026-08 corpus,31,corpus_registry,05baf983736644692615a3573b956dd6781ef0595b7824887f68abc725cb8644,verified
