study_name,agent_,year_,type_,LO-F01,GO-F01,LO-F02,GO-F02,LO-F03,GO-F03,LO-F04,GO-F04,LO-F05,GO-F05,LO-F06,GO-F06,LO-F07,GO-F07,LO-F08,GO-F08,LO-F09,GO-F09,LO-F10,GO-F10,LO-F11,GO-F11,LO-F12,GO-F12,LO-F13,GO-F13,LO-F14,GO-F14,LO-F15,GO-F15,LO-F16,GO-F16,LO-F17,GO-F17,LO-F18,GO-F18,LO-F19,GO-F19,LO-F20,GO-F20,LO-F21,GO-F21,LO-F22,GO-F22,LO-F23,GO-F23,LO-F24,GO-F24,LO-F25,GO-F25,LO-F26,GO-F26,LO-F27,GO-F27,LO-F28,GO-F28,LO-F29,GO-F29,LO-F30,GO-F30,LO-F31,GO-F31,LO-F32,GO-F32,LO-F33,GO-F33,LO-F34,GO-F34,LO-F35,GO-F35,LO-F36,GO-F36,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std
Keller2018,gemma-4-e4b-it-mxfp8,2018.0,empirical,0.2,0.2,0.0,,0.2,0.2,0.6,,0.8,0.6,0.6,0.2,0.2,,,,0.2,0.2,0.6,0.6,0.2,0.2,0.6,,0.2,0.2,,,0.2,0.2,,,0.2,0.2,0.6,0.6,0.2,0.2,,,0.2,0.2,,,0.6,0.6,,,0.2,0.2,,,0.6,0.6,,,0.2,0.2,,,0.2,0.2,,,0.2,0.2,0.6,0.6,,,0.2,0.2,25.0,21.0,0.382,0.248,0.314,0.181,0.314,0.181,0.314,0.181,0.314,0.181,0.314,0.181
Rao2024,gemma-4-e4b-it-mxfp8,2024.0,empirical,,,,,,,0.0,0.2,,,0.6,0.6,,,,,0.2,0.2,0.6,0.6,,,0.8,0.8,0.6,0.6,,,0.2,0.2,,,0.2,0.2,0.6,0.6,0.6,0.6,,,0.6,0.6,,,0.6,0.6,0.2,0.2,,,0.2,0.2,0.6,0.6,,,0.2,0.2,0.6,0.6,,,,,0.2,0.2,0.6,0.6,,,0.2,0.2,20.0,20.0,0.44,0.294,0.45,0.194,0.371,0.198,0.48,0.24,0.45,0.194,0.371,0.198
Westerberg&Xiong2025,gemma-4-e4b-it-mxfp8,2025.0,empirical,-0.6,-0.6,-0.6,-0.6,0.2,0.2,0.6,,-0.2,,0.2,0.2,,,,,-0.6,-0.6,,,0.2,0.2,,,0.2,0.2,,,,,,,-0.6,0.2,-0.6,-0.6,0.2,0.2,-0.6,-0.6,0.2,0.2,0.6,-0.6,-0.2,-0.2,,,0.2,0.2,,,0.6,0.6,,,,,0.6,0.6,,,0.6,0.6,,,0.2,0.2,0.6,0.6,,,22.0,20.0,-0.1,0.436,-0.1,0.436,0.467,0.189,-0.2,0.4,-0.15,0.371,0.467,0.189
Srinivasan1982,gemma-4-e4b-it-mxfp8,1982.0,empirical,0.6,,0.2,,0.6,,,,0.2,,0.6,,0.8,,,,0.2,,0.6,,0.8,,,,,0.2,,,,0.2,,,,0.2,,,,0.2,,0.2,,0.6,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,0.511,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.181,0.0,0.0
Spratling2010,gemma-4-e4b-it-mxfp8,2010.0,empirical,0.0,,0.8,,0.2,,,,,,0.6,,0.2,,,,0.2,,0.6,,0.2,,,,,0.2,,,,,,,,0.2,,,,,,0.2,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,0.35,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.173,0.0,0.0
Bekinschtein2009,gemma-4-e4b-it-mxfp8,2009.0,empirical,0.0,0.2,0.0,0.2,0.2,0.6,0.0,,0.0,,0.6,0.6,0.2,0.2,,,0.2,0.2,0.6,0.6,0.2,0.2,,,0.8,0.8,,,0.2,0.2,,,0.2,0.2,,,0.2,0.2,,,0.6,0.6,,,0.8,0.8,,,0.2,0.2,,,0.8,0.8,,,0.2,0.2,0.6,0.6,0.2,0.2,,,0.2,0.2,0.6,0.6,0.2,0.2,,,24.0,22.0,0.2,0.219,0.467,0.275,0.375,0.233,0.35,0.194,0.467,0.275,0.375,0.233
Bastos2012,gemma-4-e4b-it-mxfp8,2012.0,empirical,0.0,0.2,0.0,,0.6,0.8,,,,,0.8,0.8,,,0.2,0.6,,,0.6,0.8,0.8,0.6,,,0.2,0.2,,,0.2,0.2,0.6,0.6,,,0.6,0.6,0.6,0.6,,,0.6,0.6,,,0.6,0.6,,,0.6,0.8,,0.6,0.6,0.8,,,0.2,0.2,,0.6,,,,0.2,,,0.2,0.6,,,,0.2,18.0,21.0,0.429,0.328,0.486,0.181,0.4,0.2,0.633,0.213,0.486,0.181,0.5,0.245
Nejad2025,gemma-4-e4b-it-mxfp8,2025.0,empirical,0.0,0.2,,,,,,,0.2,0.2,0.2,0.6,,,,,0.2,0.2,0.2,0.6,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.167,0.075,0.0,0.0,0.0,0.0,0.333,0.189,0.0,0.0,0.0,0.0
Keller2012,gemma-4-e4b-it-mxfp8,2012.0,empirical,,,,,0.0,0.2,,,,,0.6,0.6,,,,,0.2,0.2,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.25,0.218,0.0,0.0,0.0,0.0,0.3,0.173,0.0,0.0,0.0,0.0
Wacongne2011,gemma-4-e4b-it-mxfp8,2011.0,empirical,0.2,,,,0.2,0.2,0.6,,-0.2,-0.2,0.6,0.6,,,,,0.2,0.2,,,0.6,0.6,1.0,1.0,0.8,0.8,,,0.2,0.2,,,0.8,0.8,,,,,0.2,0.2,0.8,0.8,,,0.6,0.6,,,,0.2,,0.6,0.8,0.8,,,,0.2,0.6,0.6,,,,,,,0.6,0.6,,,,,17.0,18.0,0.4,0.346,0.567,0.269,0.667,0.094,0.4,0.383,0.567,0.269,0.5,0.224
