study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,deepseek-r1-distill-llama-70b,2017.0,empirical,23.0,23.0,0.71,0.17,0.833,0.082,0.8,0.141,0.7,0.173,0.844,0.107,0.8,0.187,0.8,0.6,0.4,,0.7,0.9,0.9,,0.8,0.5,0.9,0.6,0.8,0.8,0.7,0.9,0.8,1.0,,0.8,0.9,,0.8,,0.8,,0.8,,0.6,,,,,1.0,,,0.9,0.6,0.4,,0.8,0.8,0.8,,0.7,0.4,0.9,0.7,0.9,0.8,0.8,0.9,0.8,1.0,,0.6,0.9,,0.9,,0.8,,0.9,,0.5,,,,,1.0,,
Bakhtiari2021,deepseek-r1-distill-llama-70b,2021.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2012,deepseek-r1-distill-llama-70b,2012.0,other,33.0,33.0,0.7,0.1,0.733,0.125,0.744,0.083,0.7,0.071,0.733,0.085,0.778,0.079,0.9,0.6,0.7,0.8,0.7,0.8,0.7,0.6,0.5,0.7,0.7,0.7,0.9,0.6,0.5,0.8,0.7,0.9,0.6,0.9,0.7,0.7,0.7,0.8,0.7,0.8,0.7,0.8,0.7,,0.6,0.8,0.7,0.9,,,0.8,0.6,0.7,0.6,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.8,0.8,0.7,0.6,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,0.8,0.7,0.8,0.9,0.8,,0.7,0.7,0.7,0.9,,
Bastos2020,deepseek-r1-distill-llama-70b,2020.0,empirical,18.0,18.0,0.171,0.724,0.683,0.09,0.6,0.0,0.143,0.746,0.767,0.094,0.64,0.049,0.7,,,-1.0,-0.9,0.7,0.3,0.8,,,0.6,,0.7,,,0.7,,0.7,,0.5,0.7,,,0.8,0.6,,0.6,0.6,0.6,,,,0.6,,,,0.8,,,-1.0,-1.0,0.6,0.2,0.8,,,0.6,,0.8,,,0.8,,0.7,,0.6,0.8,,,0.9,0.7,,0.6,0.7,0.6,,,,0.6,,,
Bekinschtein2009,deepseek-r1-distill-llama-70b,2009.0,empirical,12.0,10.0,0.5,0.141,0.65,0.173,0.4,0.0,0.525,0.259,0.58,0.117,0.4,0.0,,,,0.6,0.6,0.3,,,,,,,0.9,0.7,,0.5,0.6,,,0.8,0.7,,0.7,0.3,,,0.4,,,,,,,,,,,,,,,0.1,0.8,,,0.6,0.6,,,,,0.4,,,,,0.5,0.7,0.6,0.7,,,0.4,,,,,,,,,
Chao2018,deepseek-r1-distill-llama-70b,2019.0,empirical,25.0,25.0,0.743,0.073,0.864,0.048,0.886,0.125,0.429,0.44,-0.236,0.048,0.729,0.399,,,,0.8,0.7,0.8,0.6,0.8,,0.7,0.8,,0.9,,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,1.0,0.9,0.9,1.0,1.0,,,,0.7,0.7,,,,,,0.7,0.7,0.9,0.6,0.6,,-0.2,-0.3,,-0.2,,-0.2,-0.2,-0.3,-0.2,-0.3,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,1.0,0.9,1.0,1.0,,,,0.7,0.7,,
Friston2010,deepseek-r1-distill-llama-70b,2010.0,other,29.0,29.0,0.63,0.173,0.655,0.13,0.6,0.158,0.64,0.102,0.664,0.107,0.6,0.158,0.9,0.6,0.8,0.7,0.6,0.8,0.6,,0.4,0.6,0.3,,0.8,0.5,0.8,0.6,0.7,0.5,0.4,0.7,0.8,,0.7,0.7,0.2,0.6,0.7,,0.7,,0.6,0.6,0.7,0.7,,,0.6,0.8,0.6,0.6,0.7,0.7,0.7,,0.4,0.7,0.6,,0.8,0.6,0.8,0.6,0.6,0.5,0.5,0.7,0.8,,0.7,0.7,0.2,0.7,0.6,,0.6,,0.6,0.7,0.7,0.7,,
Furutachi2024,deepseek-r1-distill-llama-70b,2024.0,empirical,30.0,30.0,0.67,0.155,0.755,0.078,0.667,0.094,0.58,0.271,-0.145,0.05,0.667,0.094,0.5,,0.6,0.9,0.6,0.7,0.7,,1.0,0.6,0.5,0.6,0.9,0.8,0.6,0.7,0.8,0.8,,0.8,0.7,0.7,0.7,0.8,0.6,0.6,0.8,0.6,0.8,,0.6,0.6,0.8,0.6,,,0.6,,0.6,0.8,0.4,0.7,0.6,,1.0,0.6,0.6,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,,-0.1,-0.2,-0.1,-0.2,-0.2,0.7,0.6,0.7,0.6,0.8,,0.5,0.7,0.8,0.6,,
Garret2020,deepseek-r1-distill-llama-70b,2020.0,empirical,23.0,23.0,0.71,0.158,0.543,0.15,0.6,0.0,0.37,0.412,-0.2,0.0,0.483,0.313,0.6,,0.4,0.7,0.8,0.9,0.6,,0.9,0.7,0.6,0.9,0.2,,,,0.7,0.6,,0.6,0.6,0.5,0.6,,0.6,0.6,0.6,,0.6,,,0.6,,0.6,,,0.6,,0.4,0.6,0.6,0.9,0.6,,0.7,-0.2,-0.2,-0.3,-0.2,,,,-0.2,-0.2,,-0.2,-0.2,-0.2,-0.2,,-0.2,0.7,0.6,,0.5,,,0.7,,0.6,,
Greedy2022,deepseek-r1-distill-llama-70b,2022.0,empirical,19.0,19.0,0.475,0.179,0.686,0.264,0.6,0.0,0.5,0.173,0.714,0.247,0.587,0.06,,,0.5,,0.5,0.7,,,,0.2,,,0.7,0.2,,,0.5,0.8,,1.0,0.6,,1.0,,0.6,0.6,0.6,,0.6,0.6,,,0.6,0.6,0.6,,,,0.6,,0.6,0.6,,,,0.2,,,0.6,0.2,,,0.7,0.9,,1.0,0.7,,0.9,,0.5,0.6,0.7,,0.5,0.6,,,0.6,0.6,0.6,
