study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,gemma-3-27b,2017.0,empirical,23.0,22.0,0.4,0.176,0.575,0.043,0.25,0.087,0.44,0.206,0.562,0.048,0.25,0.15,0.6,0.6,0.6,0.3,0.1,0.5,0.2,,0.5,0.3,0.5,0.2,0.5,0.6,0.6,,0.6,0.6,0.5,,0.6,,0.6,,0.4,,0.2,,,0.2,,,,,0.2,,0.7,0.5,0.6,,0.1,0.6,0.3,,0.6,0.2,0.6,0.2,0.5,0.6,0.6,,0.5,0.6,0.6,,0.5,,0.6,,0.5,,0.1,,,0.2,,,,,0.2,
Bakhtiari2021,gemma-3-27b,2021.0,empirical,6.0,6.0,0.25,0.05,0.6,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,,,,,,0.3,,,,0.2,,,,0.6,0.6,,0.6,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.2,,,,0.2,,,,0.4,0.4,,0.4,,,,,,0.4,,,,,,,,,,,,,
Bastos2012,gemma-3-27b,2012.0,other,27.0,26.0,0.51,0.207,0.591,0.193,0.417,0.261,0.489,0.197,0.609,0.211,0.367,0.236,0.6,0.6,0.6,0.8,0.5,0.8,0.2,0.3,,0.2,0.5,,0.5,0.6,0.5,0.2,0.6,0.8,0.7,0.8,0.3,,0.7,0.8,0.9,0.2,0.2,,,0.6,,,,0.4,0.2,,0.6,0.6,0.6,,0.5,0.8,0.2,0.3,,0.2,0.6,,0.6,0.6,0.6,0.1,0.7,0.8,0.9,0.7,0.4,,0.5,0.8,0.8,0.2,0.1,,,0.5,,,,0.4,0.2,
Bastos2020,gemma-3-27b,2020.0,empirical,25.0,25.0,0.42,0.26,0.4,0.249,0.275,0.083,0.41,0.262,0.364,0.231,0.275,0.083,0.2,0.2,0.2,0.6,0.7,0.8,0.1,0.8,,0.3,0.3,,0.6,0.2,0.2,0.6,0.3,0.9,0.1,0.7,0.4,,0.2,0.2,0.3,,0.4,,,0.2,,,,0.2,,,0.2,0.2,0.2,0.6,0.8,0.8,0.2,0.7,,0.2,0.2,,0.6,0.2,0.2,0.7,0.2,0.7,0.1,0.6,0.4,,0.1,0.2,0.4,,0.3,,,0.2,,,,0.2,,
Bekinschtein2009,gemma-3-27b,2009.0,empirical,11.0,19.0,0.425,0.238,0.343,0.199,0.0,0.0,0.486,0.259,0.543,0.105,0.38,0.194,,,,0.3,0.6,0.7,,,,0.1,,,0.6,,,,0.4,0.2,0.1,,0.4,,0.6,0.1,,,,,,,,,,,,,,,,0.6,0.8,0.6,,0.2,0.2,0.8,,0.2,0.6,,,,0.3,0.6,0.5,,0.6,,0.6,0.6,0.3,0.2,0.5,,,0.7,,,,0.2,,
Chao2018,gemma-3-27b,2019.0,empirical,26.0,26.0,0.56,0.206,0.636,0.123,0.38,0.16,0.34,0.338,-0.273,0.045,0.28,0.264,0.7,0.7,0.7,0.6,0.6,0.8,0.2,0.2,,0.4,0.7,,0.7,0.7,0.7,0.4,0.7,0.6,0.7,0.7,0.6,,0.8,0.4,0.2,0.2,0.6,,,0.5,,,,0.4,,,0.6,0.6,0.6,0.1,0.6,0.8,0.2,0.3,,-0.2,-0.2,,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,,-0.3,-0.2,-0.2,0.2,0.5,,,0.5,,,,0.4,,
Friston2010,gemma-3-27b,2010.0,other,9.0,13.0,0.25,0.087,0.14,0.049,0.0,0.0,0.35,0.218,0.36,0.206,0.6,0.071,,,,0.2,0.4,0.2,,,,0.2,,,0.2,,,,0.1,,,,0.1,,0.2,0.1,,,,,,,,,,,,,,,,0.1,0.3,0.3,,,,0.7,,,0.6,,,,0.2,,,,0.1,,0.6,0.3,0.5,0.6,0.7,,,0.6,,,,,,
Furutachi2024,gemma-3-27b,2024.0,empirical,16.0,16.0,0.39,0.207,0.54,0.224,0.3,0.0,0.4,0.283,-0.18,0.04,0.3,0.0,,0.6,0.3,0.4,0.2,0.4,0.3,,0.8,0.6,0.1,0.2,0.6,,,,0.3,0.9,,,0.3,,0.6,,0.3,,,,,,,,,,,,,0.5,0.2,0.8,0.2,0.3,0.4,,0.8,0.7,0.2,-0.1,-0.2,,,,-0.2,-0.2,,,-0.2,,-0.1,,0.3,,,,,,,,,,,
Garret2020,gemma-3-27b,2020.0,empirical,18.0,17.0,0.582,0.244,0.3,0.122,0.267,0.094,0.22,0.368,-0.225,0.043,0.167,0.287,0.1,0.7,0.5,0.8,0.4,0.7,0.3,,0.8,0.6,0.5,1.0,0.5,0.2,0.3,,,0.2,,,,,,,0.2,,0.4,,,,,,0.2,,,,,0.4,0.3,0.2,0.2,0.7,0.2,,0.9,-0.2,-0.3,-0.2,-0.2,-0.2,-0.3,,,-0.2,,,,,,,-0.2,,0.5,,,,,,0.2,,,
Greedy2022,gemma-3-27b,2022.0,empirical,17.0,17.0,0.438,0.218,0.514,0.173,0.4,0.2,0.45,0.194,0.486,0.188,0.35,0.15,0.1,0.6,0.7,,0.6,0.6,,,0.2,0.5,0.2,,,0.6,0.6,,0.3,0.6,0.6,,0.2,,0.7,,,,,,,0.6,,,,0.2,,,0.2,0.6,0.6,,0.6,0.6,,,0.2,0.6,0.2,,,0.6,0.6,,0.2,0.6,0.5,,0.2,,0.7,,,,,,,0.5,,,,0.2,,
