study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,gpt-oss-claude-4.5-sonnet,2017.0,empirical,22.0,22.0,0.56,0.326,0.689,0.292,0.267,0.094,0.6,0.322,0.644,0.306,0.267,0.094,1.0,0.1,0.6,,0.2,0.9,0.6,,0.7,0.3,1.0,0.2,,0.6,0.5,,0.9,1.0,0.3,0.7,1.0,,1.0,0.2,,,,,,,0.2,,0.4,,,0.2,1.0,0.2,0.6,,0.2,1.0,0.6,,0.8,0.4,1.0,0.2,,0.6,0.6,,0.8,1.0,0.1,0.6,1.0,,0.9,0.2,,,,,,,0.2,,0.4,,,0.2
Bakhtiari2021,gpt-oss-claude-4.5-sonnet,2021.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2012,gpt-oss-claude-4.5-sonnet,2012.0,other,10.0,10.0,0.0,0.0,0.45,0.112,0.0,0.0,0.0,0.0,0.46,0.12,0.0,0.0,,,,,,,,,,,,,,0.5,0.3,0.5,0.4,0.5,0.4,0.7,0.5,,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.5,0.3,0.7,0.5,0.6,0.3,,0.5,0.4,,,,,,,,,,,,
Bastos2020,gpt-oss-claude-4.5-sonnet,2020.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bekinschtein2009,gpt-oss-claude-4.5-sonnet,2009.0,empirical,28.0,0.0,0.5,0.148,0.7,0.171,-0.467,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.5,0.5,0.6,0.7,0.5,0.5,,0.4,0.3,0.2,,0.8,0.9,0.9,0.8,0.6,0.7,0.8,0.7,0.5,0.7,0.3,,,,,,-0.4,-0.6,-0.6,-0.4,-0.2,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chao2018,gpt-oss-claude-4.5-sonnet,2019.0,empirical,19.0,19.0,0.567,0.356,0.867,0.137,-0.25,0.779,0.444,0.495,-0.233,0.047,-0.275,0.766,1.0,,,0.6,0.2,1.0,0.7,1.0,0.1,0.2,0.3,,,,,1.0,0.9,,,0.9,1.0,0.6,0.8,,,,,,,0.2,-1.0,-1.0,,0.8,,,1.0,,,0.6,0.2,1.0,0.6,1.0,0.2,-0.3,-0.3,,,,,-0.3,-0.2,,,-0.2,-0.2,-0.3,-0.2,,,,,,,0.1,-1.0,-1.0,,0.8,,
Friston2010,gpt-oss-claude-4.5-sonnet,2010.0,other,23.0,23.0,0.433,0.094,0.582,0.094,0.0,0.0,0.558,0.161,0.736,0.155,0.0,0.0,0.3,0.5,0.5,0.3,0.4,0.5,0.5,0.4,0.3,0.5,0.6,0.4,,0.7,0.6,0.6,0.5,0.6,0.5,0.7,0.6,0.5,0.7,0.4,,,,,,,,,,,,,0.6,0.6,0.6,0.2,0.3,0.7,0.6,0.5,0.5,0.8,0.7,0.6,,0.8,0.8,0.7,0.6,0.9,0.7,0.8,0.8,0.4,1.0,0.6,,,,,,,,,,,,
Furutachi2024,gpt-oss-claude-4.5-sonnet,2024.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garret2020,gpt-oss-claude-4.5-sonnet,2020.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,gpt-oss-claude-4.5-sonnet,2022.0,empirical,6.0,6.0,0.0,0.0,0.867,0.111,0.0,0.0,0.0,0.0,0.883,0.107,0.0,0.0,,,,,,,,,,,,,,0.8,0.7,,0.9,,,0.8,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,1.0,,,0.9,0.9,,1.0,,,,,,,,,,,,,
