study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,mistral-nemo-12b-thinking,2017.0,empirical,32.0,32.0,0.817,0.162,0.933,0.111,1.0,0.0,0.633,0.278,0.75,0.096,0.7,0.071,0.7,1.0,0.9,0.9,1.0,0.7,0.7,0.5,0.7,1.0,1.0,0.7,1.0,1.0,0.9,0.6,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,0.5,-0.2,0.8,0.6,0.8,0.7,0.8,0.7,0.9,0.8,0.7,0.5,0.9,0.8,0.7,0.5,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.6,0.6,0.7,,0.7,0.8,0.7,,,
Bakhtiari2021,mistral-nemo-12b-thinking,2021.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2012,mistral-nemo-12b-thinking,2012.0,other,5.0,3.0,0.76,0.136,0.0,0.0,0.0,0.0,0.8,0.082,0.0,0.0,0.0,0.0,0.9,0.9,0.6,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2020,mistral-nemo-12b-thinking,2020.0,empirical,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.09,0.583,0.069,0.5,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.5,,0.3,,0.5,,0.5,,0.5,,0.6,,0.5,,0.7,,0.6,,0.6,,0.5,,0.4,,0.5,,0.5,,0.6,,0.5,,,
Bekinschtein2009,mistral-nemo-12b-thinking,2009.0,empirical,5.0,6.0,0.8,0.0,0.9,0.1,0.9,0.0,0.675,0.217,1.0,0.0,0.0,0.0,,0.8,,,,,,,0.8,,,,,1.0,,0.8,,,,,,,,,,,,,,,0.9,,,,,,0.8,,,,,,,,,0.8,0.8,0.3,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
Chao2018,mistral-nemo-12b-thinking,2019.0,empirical,32.0,32.0,0.4,0.204,0.567,0.262,0.55,0.218,0.017,0.339,-0.242,0.049,0.175,0.356,0.3,0.2,0.3,0.7,0.5,0.8,0.2,0.4,0.3,0.6,0.1,0.4,0.9,0.2,0.3,0.7,0.7,0.5,0.3,0.7,0.5,0.2,0.8,1.0,0.6,0.8,0.6,0.2,0.6,,0.2,0.8,0.6,,,,-0.2,-0.2,0.4,-0.2,0.4,0.6,-0.4,0.2,0.4,-0.2,-0.3,-0.3,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,0.5,-0.1,0.6,,-0.2,0.6,0.4,,,
Friston2010,mistral-nemo-12b-thinking,2010.0,other,7.0,7.0,0.986,0.035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furutachi2024,mistral-nemo-12b-thinking,2024.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garret2020,mistral-nemo-12b-thinking,2020.0,empirical,20.0,21.0,0.443,0.346,0.575,0.12,0.72,0.075,0.188,0.366,-0.238,0.048,0.6,0.141,0.8,,0.5,,0.3,-0.3,0.7,,0.7,,0.4,,0.6,,,0.5,,0.4,0.6,0.8,0.5,,0.7,0.5,,0.8,0.7,,0.6,,,0.8,0.7,,,,0.5,-0.2,0.4,,0.3,-0.4,0.5,,0.6,,-0.2,,-0.3,,,-0.3,,-0.2,-0.3,-0.2,-0.2,,-0.2,-0.2,,0.8,0.5,,0.4,,,0.7,0.6,,,
Greedy2022,mistral-nemo-12b-thinking,2022.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
