study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,olmo-3-32b-think,2017.0,empirical,15.0,15.0,0.844,0.259,0.975,0.043,0.4,0.2,0.867,0.267,0.975,0.043,0.4,0.2,0.9,0.6,1.0,0.2,,1.0,,,1.0,1.0,1.0,0.9,,,,,1.0,0.9,,,1.0,,1.0,,,,,,,,,,0.6,0.2,,,1.0,0.6,1.0,0.2,,1.0,,,1.0,1.0,1.0,1.0,,,,,0.9,1.0,,,1.0,,1.0,,,,,,,,,,0.6,0.2,,
Bakhtiari2021,olmo-3-32b-think,2021.0,empirical,11.0,11.0,0.2,0.0,0.583,0.241,0.4,0.2,0.2,0.0,0.333,0.111,0.45,0.25,,,,0.2,,0.2,,,,0.2,,,,,,,0.7,0.3,0.3,0.6,0.6,,1.0,,,,,,,0.6,,,,0.2,,,,,,0.2,,0.2,,,,0.2,,,,,,,0.4,0.3,0.1,0.4,0.4,,0.4,,,,,,,0.7,,,,0.2,,
Bastos2012,olmo-3-32b-think,2012.0,other,2.0,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2020,olmo-3-32b-think,2020.0,empirical,17.0,17.0,0.438,0.296,0.75,0.076,0.467,0.189,0.45,0.26,0.7,0.115,0.5,0.216,0.1,,0.6,0.2,0.1,0.8,0.2,0.8,,,0.7,,,,,0.9,0.7,0.7,,0.8,0.7,,0.7,,,,,,,0.6,,,0.2,0.6,,,0.2,,0.6,0.2,0.2,0.8,0.2,0.8,,,0.6,,,,,0.7,0.6,0.8,,0.9,0.6,,0.6,,,,,,,0.7,,,0.2,0.6,,
Bekinschtein2009,olmo-3-32b-think,2009.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chao2018,olmo-3-32b-think,2019.0,empirical,10.0,10.0,0.55,0.05,0.967,0.047,0.8,0.2,0.2,0.4,-0.2,0.0,0.75,0.15,,,,,,,,0.6,,0.5,,,,,,1.0,0.9,1.0,,,0.9,1.0,1.0,,,,,,,1.0,,,,0.6,,,,,,,,,,0.6,,-0.2,,,,,,-0.2,-0.2,-0.2,,,-0.2,-0.2,-0.2,,,,,,,0.9,,,,0.6,,
Friston2010,olmo-3-32b-think,2010.0,other,17.0,17.0,0.75,0.265,0.883,0.134,0.467,0.189,0.75,0.278,0.867,0.189,0.433,0.17,1.0,1.0,0.9,0.2,,1.0,0.7,,,0.6,0.6,,,,,,0.7,1.0,1.0,0.9,0.7,,1.0,,,,,,,0.6,,,0.2,0.6,,,1.0,1.0,1.0,0.2,,1.0,0.6,,,0.6,0.6,,,,,,0.6,1.0,1.0,1.0,0.6,,1.0,,,,,,,0.5,,,0.2,0.6,,
Furutachi2024,olmo-3-32b-think,2024.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garret2020,olmo-3-32b-think,2020.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,olmo-3-32b-think,2022.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
