study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,phi-4-reasoning-plus,2017.0,empirical,21.0,18.0,0.656,0.117,0.614,0.125,0.64,0.08,0.675,0.097,0.6,0.058,0.575,0.043,0.9,0.5,0.7,,,0.6,0.6,,0.6,0.6,0.8,0.6,0.8,,,,0.5,0.8,,0.6,0.5,0.6,0.5,,0.8,,,,0.6,,,,0.6,0.6,0.6,,0.8,0.6,0.6,,,0.8,0.6,,0.6,0.6,0.8,,0.6,,,,0.6,0.7,,,0.6,0.6,0.5,,,,,,0.5,,,,0.6,0.6,0.6,
Bakhtiari2021,phi-4-reasoning-plus,2021.0,empirical,3.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.233,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,0.2,0.2,
Bastos2012,phi-4-reasoning-plus,2012.0,other,36.0,36.0,0.458,0.281,0.742,0.104,0.675,0.13,0.467,0.262,0.692,0.104,0.683,0.121,0.1,0.2,0.8,0.7,0.2,0.9,0.4,0.5,0.2,0.7,0.7,0.1,0.9,0.7,0.6,0.7,0.6,0.7,0.8,0.8,0.9,0.6,0.8,0.8,1.0,0.8,0.6,0.6,0.5,0.8,0.7,0.6,0.6,0.7,0.6,0.6,0.2,0.2,0.8,0.6,0.2,1.0,0.4,0.6,0.2,0.6,0.6,0.2,0.7,0.6,0.6,0.6,0.6,0.8,0.8,0.9,0.8,0.6,0.6,0.7,0.9,0.9,0.7,0.6,0.5,0.8,0.6,0.7,0.6,0.7,0.6,0.6
Bastos2020,phi-4-reasoning-plus,2020.0,empirical,25.0,25.0,0.371,0.139,0.856,0.068,0.633,0.163,0.571,0.198,0.456,0.15,0.656,0.183,,,0.6,0.3,0.2,0.4,0.5,0.4,,,0.2,,0.9,,,0.9,0.8,0.8,,0.9,0.8,0.8,0.8,1.0,0.7,0.5,0.8,0.6,0.8,0.3,,,0.5,0.8,0.7,,,,0.6,0.3,0.4,0.8,0.5,0.9,,,0.5,,0.3,,,0.5,0.4,0.5,,0.5,0.3,0.8,0.5,0.3,0.8,0.5,0.8,0.6,0.9,0.3,,,0.5,0.8,0.7,
Bekinschtein2009,phi-4-reasoning-plus,2009.0,empirical,11.0,8.0,0.65,0.05,0.729,0.191,0.5,0.1,0.6,0.0,0.1,0.704,0.733,0.189,,,,0.6,0.7,,,,,,,,1.0,,,,0.9,,,0.5,0.9,0.6,0.5,0.7,,,0.6,,,,,,,0.4,,,,,,,,,,,,0.6,,,-0.6,,,,-0.6,,,,,0.7,,0.9,,,0.6,,,,,,0.6,1.0,,
Chao2018,phi-4-reasoning-plus,2019.0,empirical,21.0,20.0,0.529,0.103,0.562,0.453,0.7,0.153,0.317,0.463,-0.263,0.099,0.7,0.191,,,,0.6,0.6,0.5,0.3,0.5,,0.6,,0.6,0.8,,,0.9,0.6,,,-0.6,0.8,0.6,0.6,0.8,,0.6,0.8,,0.6,,,0.6,0.6,1.0,,,,,,1.0,,0.6,0.2,0.6,,-0.3,,-0.2,-0.2,,,-0.2,-0.2,,,-0.5,-0.2,-0.3,-0.3,-0.2,,0.5,0.9,,0.6,,,0.5,0.7,1.0,,
Friston2010,phi-4-reasoning-plus,2010.0,other,14.0,14.0,0.62,0.04,0.56,0.049,0.675,0.083,0.62,0.04,0.62,0.04,0.7,0.071,,,0.6,,,0.6,0.6,,,0.6,0.7,,0.6,,,,0.5,,,0.6,,,0.5,0.6,,0.6,0.7,,,,,,0.6,0.8,,,,,0.6,,,0.6,0.6,,,0.7,0.6,,0.6,,,,0.6,,,0.6,,,0.7,0.6,,0.7,0.7,,,,,,0.6,0.8,,
Furutachi2024,phi-4-reasoning-plus,2024.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garret2020,phi-4-reasoning-plus,2020.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,phi-4-reasoning-plus,2022.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
