study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,qwen3-14b-gemini-3-pro,2017.0,empirical,11.0,14.0,0.62,0.431,0.967,0.047,0.0,0.0,0.125,0.685,0.8,0.153,0.0,0.0,1.0,,0.8,,,,,,0.9,0.6,,-0.2,1.0,,,,0.9,0.9,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,0.8,-0.2,-0.6,,,,0.8,0.4,-0.2,-1.0,0.6,,,,0.7,1.0,,0.7,0.8,,1.0,,,,,,,,,,,,,
Bakhtiari2021,qwen3-14b-gemini-3-pro,2021.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2012,qwen3-14b-gemini-3-pro,2012.0,other,14.0,14.0,0.68,0.248,0.762,0.122,1.0,0.0,0.56,0.388,0.725,0.164,0.9,0.0,,,0.9,,0.8,0.2,,,,0.7,0.8,,,,,0.6,0.9,0.9,0.6,0.7,0.9,,0.7,0.8,1.0,,,,,,,,,,,,,,0.8,-0.2,,0.6,,,,0.8,0.8,,,,,0.5,0.8,0.6,0.6,0.9,0.8,,0.6,1.0,0.9,,,,,,,,,,,
Bastos2020,qwen3-14b-gemini-3-pro,2020.0,empirical,11.0,11.0,0.9,0.071,0.957,0.049,0.0,0.0,0.95,0.087,0.971,0.045,0.0,0.0,,,,0.8,0.9,1.0,,0.9,,,,,0.9,,,0.9,0.9,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,0.8,1.0,1.0,,1.0,,,,,1.0,,,0.9,0.9,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
Bekinschtein2009,qwen3-14b-gemini-3-pro,2009.0,empirical,6.0,11.0,0.325,0.589,0.85,0.05,0.0,0.0,0.28,0.776,0.333,0.65,0.0,0.0,0.3,,,-0.6,1.0,,,,,0.6,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,-0.2,,,1.0,-1.0,,,,0.6,1.0,,,-1.0,,,,0.8,,,,0.9,0.5,0.7,0.1,,,,,,,,,,,,
Chao2018,qwen3-14b-gemini-3-pro,2019.0,empirical,13.0,14.0,0.3,0.0,0.75,0.1,0.65,0.087,0.733,0.094,-0.214,0.035,0.7,0.071,,,,,,,,0.3,,,,,0.9,,,0.8,0.6,0.8,,0.8,0.6,,0.7,0.8,,,0.6,,0.6,,,0.6,,0.8,,,,,,0.8,0.6,,,0.8,,,,,,,,-0.2,-0.2,-0.2,,-0.2,-0.2,,-0.2,-0.3,,,0.6,,0.7,,,0.7,,0.8,,
Friston2010,qwen3-14b-gemini-3-pro,2010.0,other,9.0,9.0,0.45,0.35,0.65,0.05,0.72,0.204,0.6,0.2,0.65,0.05,0.76,0.206,,,,,,,,,0.1,0.8,,,,,,,0.6,,,,,,,0.7,,0.6,0.4,,0.8,,,,0.8,1.0,,,,,,,,,,,0.4,0.8,,,,,,,0.6,,,,,,,0.7,,0.7,0.4,,0.9,,,,0.8,1.0,,
Furutachi2024,qwen3-14b-gemini-3-pro,2024.0,empirical,12.0,13.0,0.214,0.599,0.94,0.08,0.0,0.0,0.425,0.533,-0.2,0.0,0.0,0.0,-0.6,,-0.1,,0.7,-0.6,0.5,,1.0,0.6,,,1.0,,,,0.9,1.0,,,0.8,,1.0,,,,,,,,,,,,,,-0.6,,0.2,0.8,0.6,-0.2,0.8,,1.0,0.8,,,-0.2,,,,-0.2,-0.2,,,-0.2,,-0.2,,,,,,,,,,,,,
Garret2020,qwen3-14b-gemini-3-pro,2020.0,empirical,6.0,6.0,0.6,0.406,0.8,0.2,0.0,0.0,0.7,0.52,-0.25,0.05,0.0,0.0,,,,0.3,1.0,1.0,,,,,,0.1,0.6,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,-0.2,-0.2,,,,,-0.3,,,,,,,,,,,,,,,,,,
Greedy2022,qwen3-14b-gemini-3-pro,2022.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
