study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,qwen3.5-40b-claude-4.5-opus,2017.0,empirical,23.0,23.0,0.61,0.197,0.586,0.28,0.55,0.206,0.56,0.22,0.5,0.2,0.467,0.243,0.8,0.4,0.8,0.3,,0.7,0.4,,0.8,0.4,0.7,0.8,0.9,0.3,,,0.6,1.0,,0.2,0.4,,0.7,,0.5,,,,,0.8,,0.3,0.6,0.8,0.3,,0.8,0.3,0.8,0.3,,0.6,0.3,,0.8,0.3,0.7,0.7,0.7,0.2,,,0.4,0.8,,0.3,0.5,,0.6,,0.2,,,,,0.8,,0.3,0.4,0.8,0.3,
Bakhtiari2021,qwen3.5-40b-claude-4.5-opus,2021.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2012,qwen3.5-40b-claude-4.5-opus,2012.0,other,32.0,32.0,0.633,0.105,0.717,0.211,0.591,0.108,0.567,0.141,0.667,0.189,0.545,0.137,0.7,,0.7,0.6,,0.8,0.6,0.6,,0.7,0.6,0.4,1.0,0.7,0.4,0.6,0.7,0.8,0.7,0.7,0.7,0.3,1.0,1.0,0.8,0.6,0.7,0.6,0.5,0.7,0.5,0.4,0.5,0.6,0.6,,0.6,,0.7,0.4,,0.8,0.5,0.4,,0.7,0.6,0.4,0.8,0.6,0.4,0.5,0.8,0.8,0.8,0.7,0.6,0.3,1.0,0.7,0.7,0.5,0.6,0.6,0.4,0.8,0.5,0.3,0.4,0.6,0.6,
Bastos2020,qwen3.5-40b-claude-4.5-opus,2020.0,empirical,28.0,29.0,0.717,0.146,0.742,0.218,0.59,0.234,0.457,0.399,0.708,0.189,0.58,0.223,,,0.7,0.5,,0.9,0.7,0.9,,,0.6,,0.8,0.7,0.7,0.8,0.9,0.9,0.2,0.9,0.8,0.4,1.0,0.8,0.7,0.8,0.7,0.6,0.8,0.6,0.2,0.1,0.6,0.8,,,,,0.8,-0.1,-0.2,0.8,0.5,0.8,,,0.6,,0.8,0.7,0.7,0.7,0.7,0.8,0.2,0.8,0.8,0.5,1.0,0.8,0.7,0.7,0.7,0.7,0.6,0.7,0.2,0.1,0.6,0.8,,
Bekinschtein2009,qwen3.5-40b-claude-4.5-opus,2009.0,empirical,13.0,16.0,0.6,0.187,0.617,0.09,0.5,0.163,0.44,0.15,0.35,0.222,0.52,0.24,,,,0.6,0.9,0.5,,,,0.4,,,0.7,0.6,,,0.7,,,,0.5,,0.7,0.5,,0.3,,,0.7,,,,,0.5,,,,,,0.4,,0.5,,,0.3,0.7,,0.3,,0.3,,0.1,,0.4,,0.2,,0.3,,0.8,,0.4,0.7,,0.7,,,0.1,,0.7,,
Chao2018,qwen3.5-40b-claude-4.5-opus,2019.0,empirical,20.0,20.0,0.114,0.391,0.775,0.171,0.56,0.08,0.057,0.462,-0.213,0.033,0.62,0.16,,,-0.2,0.5,-0.2,0.8,0.3,,,-0.3,,-0.1,1.0,,,0.9,0.7,,,0.5,0.7,0.6,1.0,0.8,,0.4,0.6,,,0.6,,,0.6,0.6,,,,,-0.2,-0.6,,0.6,0.2,0.8,,-0.2,,-0.2,-0.2,,,-0.2,-0.2,,,-0.2,-0.2,-0.3,-0.2,-0.2,,0.4,0.9,,,0.6,,,0.6,0.6,,
Friston2010,qwen3.5-40b-claude-4.5-opus,2010.0,other,28.0,24.0,0.456,0.157,0.56,0.211,0.444,0.117,0.438,0.173,0.533,0.245,0.586,0.164,0.7,0.5,0.4,0.4,,0.4,0.5,0.2,,0.7,,0.3,,0.5,0.5,0.3,0.7,0.7,,0.9,0.6,0.2,0.8,0.4,0.7,0.5,0.4,0.3,0.4,,0.5,0.3,0.4,0.5,,,0.7,0.6,0.2,0.4,,0.4,,0.2,,0.6,0.4,,0.8,,0.4,0.2,0.6,0.5,,0.9,0.4,,0.8,0.2,0.7,,0.7,0.4,0.6,,0.8,0.3,,0.6,,
Furutachi2024,qwen3.5-40b-claude-4.5-opus,2024.0,empirical,28.0,26.0,0.458,0.435,0.48,0.631,0.083,0.573,0.358,0.621,-0.186,0.099,0.029,0.528,0.7,0.3,1.0,0.3,0.1,0.2,0.8,-0.6,1.0,0.7,0.7,0.3,,0.8,0.4,,1.0,0.9,-0.5,1.0,0.6,-0.9,1.0,0.5,0.6,,-0.3,,0.6,,0.4,0.2,,-1.0,,,0.8,0.2,0.9,-1.0,0.8,0.2,0.9,-0.6,0.9,0.7,0.7,-0.2,-0.2,,-0.2,-0.1,,-0.2,,-0.1,,-0.4,,-0.1,0.5,-1.0,-0.1,,0.6,,0.3,,-0.4,0.3,,
Garret2020,qwen3.5-40b-claude-4.5-opus,2020.0,empirical,17.0,17.0,0.55,0.432,0.65,0.166,0.433,0.189,0.3,0.525,-0.225,0.043,0.433,0.189,-0.7,,0.8,0.7,0.5,0.8,0.6,,0.7,0.6,0.6,0.9,0.5,,,,0.5,0.9,,,,,0.7,,,,,,0.3,,,,0.7,,0.3,,-0.6,,0.8,0.7,0.6,0.8,0.6,,0.8,-0.3,-0.2,-0.2,-0.2,,,,-0.3,-0.2,,,,,-0.2,,,,,,0.3,,,,0.7,,0.3,
Greedy2022,qwen3.5-40b-claude-4.5-opus,2022.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
