study_name,valid_paired_factors_H12_C,H1_H2_MAE,H12_Council_MAE,H12_Council_Bias
Friston2010,1,0.1636363636363636,0.6000000000000001,-0.6000000000000001
Hertag2020,6,0.16875,0.5166666666666667,-0.11666666666666668
Kiebel2008,13,0.3625,0.5153846153846154,-0.4538461538461538
Keller2018,15,0.255,0.4066666666666668,-0.34
Sacramento2018,9,0.5000000000000001,0.3888888888888889,0.05555555555555555
VanDerveer2021,5,0.32857142857142857,0.36,-0.04
Furutachi2024,6,0.2916666666666667,0.3333333333333333,0.0
LeeMejias2025,10,0.30416666666666664,0.32,-0.08000000000000004
Bastos2012,25,0.15,0.31200000000000006,-0.26400000000000007
Spratling2008,10,0.13,0.31,-0.31
Spratling2010,3,0.6833333333333332,0.3,-0.16666666666666666
Payeur2021,2,0.4,0.25,-0.25
Bastos2020,4,0.16923076923076927,0.24999999999999997,-0.24999999999999997
Mikulasch2023,10,0.35000000000000003,0.21999999999999997,-0.18
Rao2024,10,0.2428571428571429,0.21000000000000002,-0.21000000000000002
Srinivasan1982,4,0.35000000000000003,0.2,-0.10000000000000003
Attinger2017,8,0.41666666666666674,0.2,-0.17500000000000004
Nejad2025,2,0.49000000000000005,0.19999999999999998,-0.1
Wacongne2011,10,0.38,0.19000000000000003,0.09
Bekinschtein2009,6,0.3111111111111111,0.18333333333333335,0.11666666666666668
LaoRodriguez2023,8,0.4222222222222223,0.175,0.1
Garret2020,6,0.275,0.13333333333333336,-0.09999999999999999
Keller2012,2,0.4,0.0,0.0
Bakhtiari2021,0,0.7,,
Chao2018,0,,,
Greedy2022,0,0.3750000000000001,,
Jiang&Rao2024,0,,,
Rao&Ballard1999,0,,,
Wacongne2012,0,,,
Westerberg&Xiong2025,0,,,
Yamins2014,0,,,
