condition_id,paper_id,scientific_model,temperature,repeat,factor_id,factor,context,score,is_explicit_null,source,original_parse_status,completion_tokens,extractor_version,evaluated_slots_count,completeness_ratio,completeness_status
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,1,Subtractive Inhibition (SST),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,2,Divisive Inhibition (PV),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,3,Inhibition (GABA),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,4,Habituation to Sequence,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,5,Synaptic Depression (Adaptation),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,6,Activity Suppression,LO,0.6,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,7,Selective Sharpening,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,8,Alpha/Beta Mediated Suppression,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,9,VIP-Mediated Disinhibition,LO,0.7,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,10,Precision Weighting (Gain),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
