analysis_stratum,omitted_model,remaining_council_size,mean_displacement_delta,displacement_deviation_from_baseline,row_count_N
Full Council Baseline (All 10 Models),None,10,-0.0566,0.0,304
Leave-One-Out (Omit deepseek-r1-distill-llama-70b),deepseek-r1-distill-llama-70b,9,-0.0512,0.0054,273
Leave-One-Out (Omit gemma-3-27b),gemma-3-27b,9,-0.0559,0.0007,273
Leave-One-Out (Omit gemma-4-31b),gemma-4-31b,9,-0.0628,-0.0062,274
Leave-One-Out (Omit gpt-oss-claude-4.5-sonnet),gpt-oss-claude-4.5-sonnet,9,-0.0583,-0.0017,274
Leave-One-Out (Omit gpt-oss-safeguard-120b),gpt-oss-safeguard-120b,9,-0.0628,-0.0062,274
Leave-One-Out (Omit mistral-nemo-12b-thinking),mistral-nemo-12b-thinking,9,-0.0543,0.0023,274
Leave-One-Out (Omit olmo-3-32b-think),olmo-3-32b-think,9,-0.0597,-0.0031,274
Leave-One-Out (Omit phi-4-reasoning-plus),phi-4-reasoning-plus,9,-0.0527,0.0039,273
Leave-One-Out (Omit qwen3-14b-gemini-3-pro),qwen3-14b-gemini-3-pro,9,-0.056,0.0005,273
Leave-One-Out (Omit qwen3.5-40b-claude-4.5-opus),qwen3.5-40b-claude-4.5-opus,9,-0.052,0.0045,274
