study_name,agent_,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,HT2g37f,2017.0,empirical,16.0,16.0,0.6,0.193,0.52,0.147,0.288,0.201,0.6,0.193,0.52,0.147,0.288,0.201,0.8,0.6,0.2,,,0.6,,,0.7,,0.5,0.8,0.7,,,,0.6,0.4,,,0.3,,0.6,,0.3,,,,,0.2,,,0.6,,0.05,,0.8,0.6,0.2,,,0.6,,,0.7,,0.5,0.8,0.7,,,,0.6,0.4,,,0.3,,0.6,,0.3,,,,,0.2,,,0.6,,0.05,
Bakhtiari2021,HT2g37f,2021.0,empirical,3.0,3.0,,,,,0.533,0.094,,,,,0.533,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.6,,
Bastos2012,HT2g37f,2012.0,empirical,29.0,27.0,0.462,0.239,0.63,0.19,0.65,0.088,0.55,0.18,0.63,0.19,0.65,0.088,,,0.6,0.4,0.0,0.8,0.2,0.5,,0.6,0.6,,0.8,0.6,,0.7,0.6,0.8,0.8,,0.6,0.2,0.8,0.4,0.8,0.6,0.65,0.6,0.6,0.7,0.8,0.7,0.6,0.6,0.5,,,,0.6,,,0.8,0.2,0.5,,0.6,0.6,,0.8,0.6,,0.7,0.6,0.8,0.8,,0.6,0.2,0.8,0.4,0.8,0.6,0.65,0.6,0.6,0.7,0.8,0.7,0.6,0.6,0.5,
Bastos2020,HT2g37f,2020.0,empirical,26.0,26.0,0.433,0.411,0.814,0.064,0.643,0.176,0.425,0.379,0.814,0.064,0.643,0.176,0.8,0.7,0.6,0.6,-0.4,0.8,0.4,0.9,-0.2,-0.1,0.6,0.5,0.8,,,0.9,0.7,0.8,,0.9,0.8,,0.8,,0.6,0.4,0.8,,0.7,0.9,,,0.4,0.7,,,0.8,0.7,0.6,0.3,-0.2,0.8,0.4,0.9,-0.2,-0.1,0.6,0.5,0.8,,,0.9,0.7,0.8,,0.9,0.8,,0.8,,0.6,0.4,0.8,,0.7,0.9,,,0.4,0.7,,
Bekinschtein2009,HT2g37f,2009.0,empirical,7.0,9.0,,,0.467,0.094,0.5,0.224,0.4,0.0,0.6,0.0,0.32,0.574,,,,,,,,,,,,,0.6,,,,,,,,0.4,,0.4,,,,0.2,,0.6,0.4,,,,,,0.8,,,,,,,,,,0.4,,,0.6,,,,,,,,0.6,,0.6,,,,0.6,,0.6,0.8,,,,0.4,,-0.8
Chao2018,HT2g37f,2018.0,empirical,20.0,20.0,0.433,0.243,0.743,0.105,0.586,0.146,0.383,0.261,0.757,0.105,0.6,0.16,,,,0.6,,0.8,0.2,0.6,,0.2,0.2,,0.8,,,0.9,0.6,,,0.7,0.8,0.6,0.8,,,0.6,0.7,,0.5,0.8,,0.4,0.4,0.7,,,,,,0.2,,0.7,0.2,0.8,,0.2,0.2,,0.8,,,0.9,0.6,,,0.8,0.8,0.6,0.8,,,0.6,0.8,,0.5,0.8,,0.4,0.4,0.7,,
Friston2010,HT2g37f,2010.0,computational,17.0,17.0,0.567,0.125,0.517,0.107,0.525,0.083,0.567,0.125,0.517,0.107,0.525,0.083,,,0.4,,,0.6,,,,0.7,,,0.6,,,,0.5,0.4,,0.5,0.4,,0.7,,0.6,0.5,0.6,,,0.5,0.4,0.6,,0.6,0.4,,,,0.4,,,0.6,,,,0.7,,,0.6,,,,0.5,0.4,,0.5,0.4,,0.7,,0.6,0.5,0.6,,,0.5,0.4,0.6,,0.6,0.4,
Furutachi2024,HT2g37f,2024.0,empirical,17.0,15.0,0.557,0.424,0.76,0.102,0.45,0.11,0.7,0.19,0.76,0.102,0.45,0.11,,,,0.8,-0.4,0.7,0.9,,0.9,,0.4,0.6,0.8,,,,,0.7,,,0.6,,0.8,0.9,0.5,,0.35,,,0.3,,,0.5,,0.6,,,,,,,0.7,0.9,,0.9,,0.4,0.6,0.8,,,,,0.7,,,0.6,,0.8,0.9,0.5,,0.35,,,0.3,,,0.5,,0.6,
Garret2020,HT2g37f,2020.0,empirical,7.0,7.0,0.6,0.267,,,,,0.6,0.267,,,,,0.2,,,0.6,,0.8,0.7,,0.8,,0.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.6,,0.8,0.7,,0.8,,0.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,HT2g37f,2022.0,empirical,4.0,8.0,,,-0.6,0.0,0.4,0.2,,,0.667,0.189,0.48,0.169,,,,,,,,,,,,,,,,,-0.6,,,,,,-0.6,,,,,,,,,,0.2,0.6,,,,,,,,,,,,,,,0.8,,,,0.4,,,,,,0.8,,0.4,0.55,0.7,,,,,,0.2,0.55,,
Hertag2020,HT2g37f,2020.0,empirical,21.0,21.0,0.562,0.296,0.571,0.088,0.417,0.157,0.562,0.296,0.571,0.088,0.417,0.157,0.2,0.8,0.6,,,0.9,,,0.7,0.2,0.9,0.2,0.7,,,,0.4,0.6,0.6,0.6,0.5,,0.6,,0.7,0.4,,,,0.3,,0.4,0.2,,0.5,,0.2,0.8,0.6,,,0.9,,,0.7,0.2,0.9,0.2,0.7,,,,0.4,0.6,0.6,0.6,0.5,,0.6,,0.7,0.4,,,,0.3,,0.4,0.2,,0.5,
Jiang&Rao2024,HT2g37f,2024.0,empirical,15.0,15.0,0.65,0.05,0.63,0.14,0.544,0.165,0.65,0.05,0.63,0.14,0.544,0.165,,,,,,0.6,,,,0.7,,,0.75,,,,0.4,,,,0.6,0.6,0.8,,0.5,0.6,0.75,,0.2,0.6,,0.4,0.6,0.7,,,,,,,,0.6,,,,0.7,,,0.75,,,,0.4,,,,0.6,0.6,0.8,,0.5,0.6,0.75,,0.2,0.6,,0.4,0.6,0.7,,
Keller2012,HT2g37f,2012.0,empirical,8.0,8.0,,,0.48,0.117,0.333,0.094,,,0.48,0.117,0.333,0.094,,,,,,,,,,,,,0.6,,,,0.4,0.5,,,0.3,,0.6,,,,,,,0.2,0.4,,,,0.4,,,,,,,,,,,,,,0.6,,,,0.4,0.5,,,0.3,,0.6,,,,,,,0.2,0.4,,,,0.4,
Keller2018,HT2g37f,2018.0,empirical,36.0,36.0,0.342,0.266,0.246,0.238,0.492,0.198,0.358,0.275,0.246,0.238,0.492,0.198,0.2,0.2,0.4,0.6,0.4,0.8,0.1,0.0,0.0,0.4,0.2,0.8,0.6,0.0,0.0,0.2,0.3,0.55,0.3,0.0,0.4,0.0,0.6,0.0,0.6,0.4,0.6,0.0,0.6,0.6,0.8,0.6,0.6,0.4,0.4,0.3,0.2,0.2,0.4,0.6,0.6,0.8,0.1,0.0,0.0,0.4,0.2,0.8,0.6,0.0,0.0,0.2,0.3,0.55,0.3,0.0,0.4,0.0,0.6,0.0,0.6,0.4,0.6,0.0,0.6,0.6,0.8,0.6,0.6,0.4,0.4,0.3
Kiebel2008,HT2g37f,2008.0,computational,16.0,16.0,0.475,0.238,0.6,0.0,0.5,0.176,0.475,0.238,0.6,0.0,0.5,0.176,,,,,,0.6,0.2,,,0.3,,0.8,0.6,,,,,,,,,0.6,0.6,,0.4,0.6,0.6,,0.2,0.8,0.4,0.4,0.4,0.7,,,,,,,,0.6,0.2,,,0.3,,0.8,0.6,,,,,,,,,0.6,0.6,,0.4,0.6,0.6,,0.2,0.8,0.4,0.4,0.4,0.7,,
LaoRodriguez2023,HT2g37f,2023.0,empirical,15.0,0.0,0.7,0.187,0.325,0.083,0.5,0.185,,,,,,,,,,0.6,0.7,0.5,,,,,,1.0,0.4,,,,,,,,,0.3,0.2,0.4,,0.3,0.6,,,0.4,,0.8,,0.4,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
