study_name,agent_,year_,type_,LO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-count,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,gemma-4-31b-it,2017.0,empirical,52,0.611,0.094,0.504,0.159,0.3,0.053,,,,,,0.6,,,0.7,,0.5,0.8,0.7,,,,0.3,0.433,,,0.317,,0.6,,0.317,,,,,0.2,,,,,0.3,,52,0.611,0.094,0.504,0.159,0.3,0.053,,,,,,0.6,,,0.7,,0.5,0.8,0.7,,,,0.3,0.433,,,0.317,,0.6,,0.317,,,,,0.2,,,,,0.3,
Bakhtiari2021,gemma-4-31b-it,2021.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2012,gemma-4-31b-it,2012.0,empirical,129,0.479,0.295,0.702,0.135,0.662,0.104,,,0.6,0.4,-0.1,0.8,,0.467,,0.6,,,0.783,,,0.683,,0.8,0.8,,0.617,,0.8,0.433,0.8,0.617,0.683,,0.55,0.7,0.8,0.683,,0.617,0.48,,119,0.617,0.131,0.702,0.135,0.662,0.104,,,0.6,,,0.8,,0.467,,0.6,,,0.783,,,0.683,,0.8,0.8,,0.617,,0.8,0.433,0.8,0.617,0.683,,0.55,0.7,0.8,0.683,,0.617,0.48,
Bastos2020,gemma-4-31b-it,2020.0,empirical,104,0.475,0.528,0.814,0.065,0.674,0.161,,,,0.6,-0.4,0.8,,0.9,,,,,0.8,,,0.9,0.7,0.8,,0.9,0.8,,0.8,,0.6,0.433,0.8,,0.7,0.9,,,0.4,0.7,,,92,0.85,0.052,0.814,0.065,0.674,0.161,,,,,,0.8,,0.9,,,,,0.8,,,0.9,0.7,0.8,,0.9,0.8,,0.8,,0.6,0.433,0.8,,0.7,0.9,,,0.4,0.7,,
Bekinschtein2009,gemma-4-31b-it,2009.0,empirical,42,,,0.467,0.097,0.5,0.228,,,,,,,,,,,,,0.6,,,,,,,,0.4,,0.4,,,,0.2,,0.6,0.4,,,,,,0.8,54,0.4,0.0,0.6,0.0,0.34,0.597,,,,,,,,,,0.4,,,0.6,,,,,,,,0.6,,0.6,,,,0.6,,0.7,0.8,,,,0.4,,-0.8
Chao2018,gemma-4-31b-it,2018.0,empirical,82,0.633,0.141,0.822,0.093,0.671,0.13,,,,0.6,,0.733,,0.567,,,,,0.883,,,0.883,,,,0.767,0.85,0.667,0.883,,,0.567,0.767,,0.5,0.8,,0.433,,0.7,,,76,0.708,0.124,0.831,0.086,0.686,0.135,,,,,,0.683,,0.733,,,,,0.883,,,0.883,,,,0.783,0.867,0.683,0.883,,,0.583,0.783,,0.5,0.817,,0.433,,0.717,,
Friston2010,gemma-4-31b-it,2010.0,empirical,70,0.557,0.116,0.532,0.119,0.532,0.094,,,0.4,,,0.6,,,,0.64,,,0.62,,,,0.475,0.44,,0.5,0.44,,0.7,,0.62,0.5,0.54,,,0.48,0.467,,,0.56,,,70,0.557,0.116,0.532,0.119,0.532,0.094,,,0.4,,,0.6,,,,0.64,,,0.62,,,,0.475,0.44,,0.5,0.44,,0.7,,0.62,0.5,0.54,,,0.48,0.467,,,0.56,,
Furutachi2024,gemma-4-31b-it,2024.0,empirical,33,0.583,0.466,0.76,0.106,,,,,,0.8,-0.4,0.7,0.9,,0.9,,,0.6,0.8,,,,,0.7,,,0.6,,0.8,0.9,,,,,,,,,,,,,27,0.775,0.136,0.76,0.106,,,,,,,,0.7,0.9,,0.9,,,0.6,0.8,,,,,0.7,,,0.6,,0.8,0.9,,,,,,,,,,,,
Garret2020,gemma-4-31b-it,2020.0,empirical,15,0.76,0.106,,,,,,,,0.6,,0.8,0.7,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,12,0.8,0.074,,,,,,,,,,0.8,0.7,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,gemma-4-31b-it,2022.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,0.72,0.179,0.52,0.103,,,,,,,,,,,,,0.8,,,,0.4,,,,,,0.8,,0.4,0.6,0.633,,,,,,,0.5,,
