study_name,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,agent_,type_,year_
Attinger2017,0.6083333333333333,0.0204124145231931,0.5033333333333333,0.0081649658092772,0.3,0.0,0.6083333333333333,0.0204124145231931,0.5033333333333333,0.0081649658092772,0.3,0.0,gemma-4-31b-it,empirical,2017
Bakhtiari2021,,,,,,,,,,,,,gemma-4-31b-it,empirical,2021
Bastos2012,0.4861111111111111,0.0884537962671702,0.7023809523809524,0.0228868854108531,0.662962962962963,0.0218487128944483,0.6166666666666667,0.0258198889747161,0.7023809523809524,0.0228868854108531,0.662962962962963,0.0218487128944483,gemma-4-31b-it,empirical,2012
Bastos2020,0.4749999999999999,0.0,0.8142857142857144,0.0,0.6746031746031745,0.0135247037486607,0.8500000000000001,0.0,0.8142857142857144,0.0,0.6746031746031745,0.0135247037486607,gemma-4-31b-it,empirical,2020
Bekinschtein2009,,,0.4666666666666666,0.0,0.5,0.0,0.4000000000000001,0.0,0.6,0.0,0.34,0.0219089023002066,gemma-4-31b-it,empirical,2009
Chao2018,0.6333333333333334,0.0816496580927726,0.8222222222222223,0.0375154289247425,0.6733333333333333,0.0340098025084925,0.7083333333333334,0.115830335692627,0.8305555555555556,0.0323465036177992,0.6866666666666666,0.0227303028283097,gemma-4-31b-it,empirical,2018
Friston2010,0.5599999999999999,0.036514837167011,0.53,0.0397911212877111,0.5333333333333333,0.0535412613473633,0.5599999999999999,0.036514837167011,0.53,0.0397911212877111,0.5333333333333333,0.0535412613473633,gemma-4-31b-it,empirical,2010
Furutachi2024,0.5833333333333334,0.0,0.7600000000000001,0.0,,,0.775,0.0,0.7600000000000001,0.0,,,gemma-4-31b-it,empirical,2024
Garret2020,0.7600000000000001,0.0,,,,,0.8000000000000002,0.0,,,,,gemma-4-31b-it,empirical,2020
Greedy2022,,,,,,,,,0.7555555555555555,0.0769800358919501,0.5166666666666667,0.0288675134594813,gemma-4-31b-it,empirical,2022
Hertag2020,0.8000000000000002,0.0,0.5599999999999999,0.0,0.4749999999999999,0.0,0.8000000000000002,0.0,0.5599999999999999,0.0,0.4749999999999999,0.0,gemma-4-31b-it,empirical,2020
Jiang&Rao2024,0.6833333333333332,0.0288675134594813,0.6611111111111111,0.0096225044864937,0.5888888888888889,0.0346944333244356,0.6833333333333332,0.0288675134594813,0.6611111111111111,0.0096225044864937,0.5888888888888889,0.0346944333244356,gemma-4-31b-it,empirical,2024
Keller2012,,,0.4866666666666666,0.0115470053837925,0.35,0.0866025403784438,,,0.4866666666666666,0.0115470053837925,0.35,0.0866025403784438,gemma-4-31b-it,empirical,2012
Keller2018,0.5142857142857143,0.0,0.5166666666666667,0.0288675134594813,0.55,0.0,0.52,0.0,0.5166666666666667,0.0288675134594813,0.55,0.0,gemma-4-31b-it,empirical,2018
Kiebel2008,0.8000000000000002,0.0,0.55,0.0,0.64,0.0,0.8000000000000002,0.0,0.55,0.0,0.64,0.0,gemma-4-31b-it,empirical,2008
LaoRodriguez2023,0.6999999999999998,0.0,0.325,0.0,0.5111111111111111,0.0192450089729874,,,,,,,gemma-4-31b-it,empirical,2023
LeeMejias2025,0.611111111111111,0.0192450089729875,0.7206349206349207,0.0109971479845643,0.5499999999999999,0.0,0.5777777777777778,0.0192450089729875,0.7206349206349207,0.0109971479845643,0.5499999999999999,0.0,gemma-4-31b-it,empirical,2025
Mikulasch2023,0.4857142857142857,0.0,0.6222222222222222,0.0479354567318777,0.5111111111111111,0.0,0.5333333333333333,0.0,0.6222222222222222,0.0479354567318777,0.5111111111111111,0.0,gemma-4-31b-it,empirical,2023
Nejad2025,,,0.5077380952380953,0.0200710896429611,0.4533333333333333,0.0611010092660777,,,0.5077380952380953,0.0200710896429611,0.4533333333333333,0.0611010092660777,gemma-4-31b-it,empirical,2025
Payeur2021,,,,,,,,,0.6333333333333333,0.0,0.5599999999999999,0.0,gemma-4-31b-it,empirical,2021
Rao&Ballard1999,0.8000000000000002,0.0,0.7799999999999999,0.0,0.5714285714285714,0.0,0.8000000000000002,0.0,0.7799999999999999,0.0,0.5714285714285714,0.0,gemma-4-31b-it,empirical,1999
Rao2024,0.5,0.0,0.6,0.0,0.6925925925925925,0.0064150029909958,0.5,0.0,0.6,0.0,0.6925925925925925,0.0064150029909958,gemma-4-31b-it,empirical,2024
Sacramento2018,0.4666666666666666,0.0,0.65,0.0,0.55,0.0,0.4666666666666666,0.0,0.65,0.0,0.55,0.0,gemma-4-31b-it,empirical,2018
Spratling2008,,,,,,,,,,,,,gemma-4-31b-it,empirical,2008
Spratling2010,0.2666666666666666,0.0,0.4000000000000001,0.0,0.5333333333333333,0.1154700538379251,0.6999999999999998,0.0,0.4000000000000001,0.0,0.5333333333333333,0.1154700538379251,gemma-4-31b-it,empirical,2010
Srinivasan1982,0.8000000000000002,0.0,0.6499999999999999,0.0,0.5,0.0,0.8000000000000002,0.0,0.6499999999999999,0.0,0.5,0.0,gemma-4-31b-it,empirical,1982
VanDerveer2021,0.4666666666666666,0.0,0.6000000000000001,0.0,0.546031746031746,0.1044729058533608,0.4666666666666666,0.0,0.6000000000000001,0.0,0.546031746031746,0.1044729058533608,gemma-4-31b-it,empirical,2021
Wacongne2011,-0.025,0.0,0.5333333333333333,0.0,0.6333333333333333,0.0,0.75,0.0,0.5333333333333333,0.0,0.6333333333333333,0.0,gemma-4-31b-it,empirical,2011
Wacongne2012,0.1666666666666666,0.0,0.6875,0.0,0.5,0.0,0.6750000000000002,0.0,0.6875,0.0,0.5,0.0,gemma-4-31b-it,empirical,2012
Westerberg&Xiong2025,-0.3333333333333333,0.0,0.8000000000000002,0.0,0.8133333333333334,0.0115470053837925,-0.3,0.0,-0.8458333333333333,0.0288675134594812,-0.6,0.0,gemma-4-31b-it,empirical,2025
Yamins2014,,,,,,,,,,,0.625,,gemma-4-31b-it,empirical,2014
