study_name,agent_,year_,type_,LO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-count,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,gemma-4-31b-it,2017.0,empirical,76,0.607,0.09,0.505,0.154,0.3,0.045,,,,,,0.6,,,0.7,,0.5,0.8,0.7,,,,0.3,0.444,,,0.322,,0.578,,0.311,,,,,0.2,,,,,0.3,,76,0.607,0.09,0.505,0.154,0.3,0.045,,,,,,0.6,,,0.7,,0.5,0.8,0.7,,,,0.3,0.444,,,0.322,,0.578,,0.311,,,,,0.2,,,,,0.3,
Attinger2017,olmo-3-32b-think,2017.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attinger2017,phi-4-reasoning-plus,2017.0,empirical,46,0.592,0.195,0.65,0.1,0.28,0.438,0.8,0.6,0.267,,,0.5,,,0.6,,0.7,,0.8,,,,0.6,,,,,,0.6,,,,,,,,,,0.6,,0.067,,46,0.592,0.195,0.65,0.1,0.28,0.438,0.8,0.6,0.267,,,0.5,,,0.6,,0.7,,0.8,,,,0.6,,,,,,0.6,,,,,,,,,,0.6,,0.067,
Bakhtiari2021,gemma-4-31b-it,2021.0,empirical,3,,,,,0.533,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.6,,,3,,,,,0.533,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.6,,
Bakhtiari2021,olmo-3-32b-think,2021.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakhtiari2021,phi-4-reasoning-plus,2021.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2012,gemma-4-31b-it,2012.0,empirical,189,0.508,0.264,0.711,0.128,0.669,0.107,,,0.6,0.4,0.063,0.8,,0.489,,0.6,,,0.789,,,0.711,,0.8,0.8,,0.611,,0.8,0.467,0.8,0.622,0.656,,0.544,0.733,0.789,0.7,,0.611,0.48,,176,0.622,0.124,0.711,0.128,0.669,0.107,,,0.6,,,0.8,,0.489,,0.6,,,0.789,,,0.711,,0.8,0.8,,0.611,,0.8,0.467,0.8,0.622,0.656,,0.544,0.733,0.789,0.7,,0.611,0.48,
Bastos2012,olmo-3-32b-think,2012.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2012,phi-4-reasoning-plus,2012.0,empirical,26,0.467,0.207,0.556,0.133,0.6,0.0,,,0.2,,,0.6,0.2,0.6,,0.6,0.6,,0.6,0.6,,0.6,0.6,0.6,0.6,,0.6,0.2,0.6,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,26,0.467,0.207,0.556,0.133,0.6,0.0,,,0.2,,,0.6,0.2,0.6,,0.6,0.6,,0.6,0.6,,0.6,0.6,0.6,0.6,,0.6,0.2,0.6,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,
Bastos2020,gemma-4-31b-it,2020.0,empirical,155,0.472,0.519,0.813,0.068,0.679,0.16,,,,0.578,-0.389,0.8,,0.9,,,,,0.8,,,0.9,0.7,0.8,,0.9,0.778,,0.811,,0.6,0.422,0.8,,0.7,0.9,,,0.4,0.711,,,137,0.85,0.051,0.813,0.068,0.679,0.16,,,,,,0.8,,0.9,,,,,0.8,,,0.9,0.7,0.8,,0.9,0.778,,0.811,,0.6,0.422,0.8,,0.7,0.9,,,0.4,0.711,,
