study_name,agent_,year_,type_,LO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-count,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Attinger2017,gemma-4-31b-it,2017.0,empirical,76,0.607,0.09,0.505,0.154,0.3,0.045,,,,,,0.6,,,0.7,,0.5,0.8,0.7,,,,0.3,0.444,,,0.322,,0.578,,0.311,,,,,0.2,,,,,0.3,,76,0.607,0.09,0.505,0.154,0.3,0.045,,,,,,0.6,,,0.7,,0.5,0.8,0.7,,,,0.3,0.444,,,0.322,,0.578,,0.311,,,,,0.2,,,,,0.3,
Bakhtiari2021,gemma-4-31b-it,2021.0,empirical,3,,,,,0.533,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.6,,,3,,,,,0.533,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.6,,
Bastos2012,gemma-4-31b-it,2012.0,empirical,189,0.508,0.264,0.711,0.128,0.669,0.107,,,0.6,0.4,0.063,0.8,,0.489,,0.6,,,0.789,,,0.711,,0.8,0.8,,0.611,,0.8,0.467,0.8,0.622,0.656,,0.544,0.733,0.789,0.7,,0.611,0.48,,176,0.622,0.124,0.711,0.128,0.669,0.107,,,0.6,,,0.8,,0.489,,0.6,,,0.789,,,0.711,,0.8,0.8,,0.611,,0.8,0.467,0.8,0.622,0.656,,0.544,0.733,0.789,0.7,,0.611,0.48,
Bastos2020,gemma-4-31b-it,2020.0,empirical,155,0.472,0.519,0.813,0.068,0.679,0.16,,,,0.578,-0.389,0.8,,0.9,,,,,0.8,,,0.9,0.7,0.8,,0.9,0.778,,0.811,,0.6,0.422,0.8,,0.7,0.9,,,0.4,0.711,,,137,0.85,0.051,0.813,0.068,0.679,0.16,,,,,,0.8,,0.9,,,,,0.8,,,0.9,0.7,0.8,,0.9,0.778,,0.811,,0.6,0.422,0.8,,0.7,0.9,,,0.4,0.711,,
Bekinschtein2009,gemma-4-31b-it,2009.0,empirical,56,,,0.458,0.11,0.494,0.211,,,,,,,,,,,,,0.6,,,,,,,,0.4,,0.375,,,,0.225,,0.575,0.4,,,,,,0.775,72,0.4,0.0,0.6,0.051,0.34,0.592,,,,,,,,,,0.4,,,0.6,,,,,,,,0.625,,0.575,,,,0.6,,0.675,0.8,,,,0.425,,-0.8
Chao2018,gemma-4-31b-it,2018.0,empirical,122,0.611,0.142,0.794,0.109,0.663,0.126,,,,0.6,,0.689,,0.544,,,,,0.856,,,0.878,,,,0.733,0.822,0.622,0.856,,,0.556,0.744,,0.5,0.778,,0.425,,0.7,,,113,0.689,0.132,0.806,0.096,0.683,0.13,,,,,,0.644,,0.733,,,,,0.856,,,0.867,,,,0.767,0.844,0.644,0.856,,,0.578,0.767,,0.5,0.8,,0.425,,0.722,,
Friston2010,gemma-4-31b-it,2010.0,empirical,125,0.57,0.118,0.555,0.131,0.547,0.101,,,0.4,,,0.6,,,,0.633,,,0.644,,,,0.48,0.456,,0.5,0.489,,0.722,,0.633,0.522,0.544,,,0.511,0.45,0.6,,0.6,0.4,,125,0.57,0.118,0.555,0.131,0.547,0.101,,,0.4,,,0.6,,,,0.633,,,0.644,,,,0.48,0.456,,0.5,0.489,,0.722,,0.633,0.522,0.544,,,0.511,0.45,0.6,,0.6,0.4,
Furutachi2024,gemma-4-31b-it,2024.0,empirical,115,0.577,0.45,0.742,0.116,0.436,0.122,,,,0.778,-0.4,0.722,0.9,,0.9,,0.4,0.6,0.778,,,,,0.678,,,0.578,,0.778,0.9,0.5,,0.35,,,0.3,,,0.467,,0.533,,97,0.761,0.153,0.742,0.116,0.436,0.122,,,,,,0.722,0.9,,0.9,,0.4,0.6,0.778,,,,,0.678,,,0.578,,0.778,0.9,0.5,,0.35,,,0.3,,,0.467,,0.533,
Garret2020,gemma-4-31b-it,2020.0,empirical,40,0.76,0.103,,,,,,,,0.6,,0.8,0.7,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,32,0.8,0.072,,,,,,,,,,0.8,0.7,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,gemma-4-31b-it,2022.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,0.75,0.165,0.542,0.115,,,,,,,,,,,,,0.8,,,,0.4,,,,,,0.833,,0.411,0.533,0.667,,,,,,,0.556,,
Hertag2020,gemma-4-31b-it,2020.0,empirical,118,0.794,0.124,0.58,0.118,0.454,0.143,,,0.611,,,0.9,,,0.767,,0.9,,0.722,,,,0.411,0.633,,,0.511,,0.622,,0.656,0.4,,,,0.289,,0.4,,,0.478,,118,0.794,0.124,0.58,0.118,0.454,0.143,,,0.611,,,0.9,,,0.767,,0.9,,0.722,,,,0.411,0.633,,,0.511,,0.622,,0.656,0.4,,,,0.289,,0.4,,,0.478,
Jiang&Rao2024,gemma-4-31b-it,2024.0,empirical,103,0.667,0.077,0.661,0.152,0.604,0.139,,,,,,0.6,,,,0.733,,,0.767,,,,0.417,,,,0.578,,0.8,,0.443,0.656,0.767,,,0.611,,0.411,,0.7,,,103,0.667,0.077,0.661,0.152,0.604,0.139,,,,,,0.6,,,,0.733,,,0.767,,,,0.417,,,,0.578,,0.8,,0.443,0.656,0.767,,,0.611,,0.411,,0.7,,
Keller2012,gemma-4-31b-it,2012.0,empirical,54,,,0.49,0.117,0.38,0.121,,,,,,,,,,,,,0.622,,,,0.4,0.467,,,0.343,,0.544,,,,,,,0.2,0.4,,,,0.433,,54,,,0.49,0.117,0.38,0.121,,,,,,,,,,,,,0.622,,,,0.4,0.467,,,0.343,,0.544,,,,,,,0.2,0.4,,,,0.433,
Keller2018,gemma-4-31b-it,2018.0,empirical,173,0.508,0.212,0.527,0.104,0.522,0.177,,,0.4,0.589,0.344,0.789,,,,0.4,0.233,0.8,0.622,,,,0.4,0.5,,,0.4,,0.6,,0.611,0.422,0.578,,,0.578,0.767,0.578,,0.4,0.367,0.125,155,0.524,0.234,0.527,0.104,0.522,0.177,,,0.4,,,0.789,,,,0.4,0.233,0.8,0.622,,,,0.4,0.5,,,0.4,,0.6,,0.611,0.422,0.578,,,0.578,0.767,0.578,,0.4,0.367,0.125
